SPK_SPKC04b,SPK_SPKC11a
428.730025,472.441375
428.756775,472.443875
428.773175,472.575175
428.8133,472.58525
428.845375,472.681925
428.8784,472.742925
428.9608,472.8737
428.98435,472.9829
429.00555,473.002275
429.04015,473.2145
429.057275,473.223425
429.06965,473.258675
429.08415,473.31495
429.105425,473.33815
429.127525,473.406625
429.1589,473.42085
429.2254,473.45155
429.25025,473.535475
429.267875,473.55245
429.30225,473.7767
429.3441,473.8737
429.38565,473.902475
429.413375,474.019375
429.430575,474.033025
429.4511,474.0503
429.472775,474.05735
429.488075,474.062675
429.49995,474.090025
429.518375,474.098425
429.532025,474.1472
429.5403,474.21755
429.55025,474.23925
429.563425,474.269375
429.579625,474.454725
429.5923,474.58635
429.613225,474.5881
429.69805,474.72215
429.736625,475.050575
429.805725,475.329625
429.84265,475.798925
429.857475,475.90405
429.868925,475.9076
429.887825,475.912775
429.894,475.9729
429.917325,476.02395
429.934325,476.20545
429.950225,476.348675
429.978475,476.406175
430.0035,476.407475
430.0199,476.42405
430.0372,476.434175
430.0547,476.45225
430.0997,476.463825
430.115125,476.47345
430.159825,476.62955
430.2087,476.653475
430.340925,476.787425
430.375175,476.858975
430.400525,476.967225
430.415775,477.009275
430.4247,477.10025
430.4405,477.24075
430.454825,477.31055
430.4683,477.93745
430.4813,477.945025
430.498325,477.94635
430.52715,477.96275
430.542625,477.9651
430.5544,477.977125
430.575975,478.3522
430.596525,478.88125
430.6362,478.939075
430.69495,478.9577
430.71385,479.02335
430.7376,479.050775
430.7903,479.070525
430.81675,479.11175
430.847925,479.204125
430.8617,479.30855
430.87535,479.346375
430.892225,479.417
430.910125,479.455325
430.935825,479.619375
430.944075,479.751925
430.9593,479.7911
430.9688,479.85995
430.981425,479.93735
430.99455,479.948125
431.0061,480.22085
431.0154,480.435025
431.03005,480.5533
431.046925,480.59005
431.056775,480.804475
431.14165,480.808575
431.158125,480.90765
431.1753,481.0532
431.19495,481.095025
431.229,481.097375
431.248925,481.117225
431.284425,481.146275
431.31015,481.1763
431.3206,481.3285
431.342175,481.349875
431.365225,481.43495
431.377925,481.5063
431.39565,481.51195
431.4179,481.5627
431.432725,481.7361
431.45015,481.893975
431.464575,481.89915
431.477375,482.011375
431.49635,482.165175
431.5123,482.330075
431.522225,482.4201
431.5328,482.682425
431.554575,482.71155
431.57195,482.870175
431.613875,482.88175
431.64515,482.88635
431.706,482.89355
431.754875,482.926675
431.7733,482.944775
431.79865,483.152875
431.8184,483.243475
431.839875,483.293125
431.877825,483.418525
431.892825,483.506625
431.918575,483.56155
431.93365,483.58665
431.948875,483.59105
431.96365,483.7104
431.979425,483.770725
431.99685,483.814075
432.018525,483.8398
432.05425,483.8802
432.09755,483.9726
432.14165,483.986325
432.16725,484.121575
432.1837,484.164925
432.229975,484.527325
432.246725,484.622425
432.267225,484.68015
432.292,484.8072
432.30865,484.859225
432.33635,484.945925
432.370825,484.9867
432.393075,485.1062
432.414325,485.1409
432.43225,485.1784
432.4732,485.217425
432.4941,485.22895
432.528025,485.3538
432.55435,485.37915
432.584025,485.3906
432.602775,485.406575
432.6155,485.465225
432.63205,485.4703
432.646275,485.5858
432.66705,486.07825
432.684225,486.186375
432.706725,486.2008
432.730475,486.20895
432.77195,486.22025
432.77905,486.370325
432.824225,486.39825
432.8412,486.41815
432.873025,486.424775
432.886125,486.6467
432.903225,486.65885
432.916425,486.803225
432.931675,487.17345
432.9626,487.1987
432.9823,487.2077
433.0001,487.241
433.013025,487.24705
433.03235,487.254475
433.044275,487.313825
433.06115,487.4885
433.079075,487.568325
433.09785,487.629775
433.1293,487.7854
