SPK_SPKC05a (exc),SPK_SPKC15a (no response)
680.103,777.976
680.1239,778.318225
680.13255,778.563675
680.175475,778.832675
680.428425,778.98555
680.43095,779.3846
680.435225,779.4708
680.486175,779.58865
680.54385,779.671225
680.593375,779.787475
680.8612,779.879325
680.866025,780.15575
680.97735,780.530825
680.984275,781.4396
681.256775,781.88905
681.449325,782.102825
681.456725,782.420675
681.483075,782.764875
681.58825,782.833675
681.8945,783.6143
682.076375,784.322075
682.253825,784.78865
682.384075,785.031225
682.39765,785.374875
682.443075,786.216825
682.460025,786.474175
682.510725,788.676925
682.585525,788.771925
682.586975,789.104025
682.68915,789.504775
682.6996,789.90785
682.7556,790.446875
682.935125,790.514225
682.968775,791.00915
682.972375,791.078375
683.04325,791.137325
683.052775,791.190775
683.09875,791.248125
683.113825,792.206225
683.293225,792.51065
683.45585,792.59705
683.5065,793.052225
683.6041,793.16275
683.622975,793.217175
683.6836,793.311025
683.706,793.4875
683.72825,793.63755
683.80835,793.7055
683.8759,793.84015
683.96965,794.1245
683.977025,794.209
684.035125,794.2525
684.104325,794.58235
684.21615,794.6777
684.26215,794.709725
684.33955,794.7642
684.352,794.944225
684.4341,795.02595
684.4939,795.10675
684.7379,795.3078
684.7767,795.9274
684.86815,796.023525
684.9294,796.1215
685.019575,796.214375
685.17895,796.32045
685.2841,796.39065
685.309225,796.46145
685.336325,796.494275
685.36985,796.584675
685.427825,796.72625
685.52545,796.7389
685.695025,796.791875
685.739875,796.823475
685.769175,796.8903
685.846525,796.964
685.924975,796.9761
686.0002,797.077425
686.0151,797.137475
686.08085,797.248075
686.09065,797.339375
686.1561,797.4189
686.194875,797.445025
686.201625,797.5512
686.231375,797.596075
686.263525,797.659
686.2979,797.772075
686.32065,797.794
686.39975,797.8092
686.438075,797.874975
686.512125,797.95745
686.58305,797.9782
686.661075,798.083275
686.736225,798.1476
686.85045,798.189475
687.000575,798.21315
687.057875,798.336675
687.18225,798.3638
687.2852,798.5043
687.314975,798.619725
687.433375,798.94465
687.450075,799.116375
687.4833,799.1432
687.5464,799.23545
687.5881,799.31745
687.63255,799.472625
687.703775,799.647825
687.811825,799.69515
687.9551,799.71855
687.98945,799.77115
688.0181,799.869
688.126975,799.914625
688.295575,
688.382,
688.4412,
688.502625,
688.503925,
688.57455,
688.710875,
688.85945,
688.900925,
688.96995,
688.98035,
689.02185,
689.085775,
689.232975,
689.30435,
689.312725,
689.334425,
689.36455,
689.545075,
689.71155,
689.722025,
689.783075,
689.8505,
689.906475,
689.924325,
690.015625,
690.0745,
690.131875,
690.223125,
690.303175,
690.33355,
690.399825,
690.4592,
690.546425,
690.6071,
690.6341,
690.68185,
690.77505,
690.900375,
690.93785,
691.0352,
691.12285,
691.220125,
691.266575,
691.314075,
691.42735,
691.6147,
691.7371,
691.797725,
691.8866,
691.957275,
692.0119,
692.0167,
692.1439,
692.180575,
692.2713,
692.31245,
692.441025,
692.53295,
692.576725,
692.717725,
692.799625,
692.8635,
692.98475,
693.052575,
693.09515,
693.155075,
693.21515,
693.30335,
693.382075,
693.466225,
693.61495,
693.689,
693.767225,
693.817375,
693.882175,
694.01605,
694.0631,
694.279875,
694.381675,
694.38415,
694.599225,
694.635875,
694.7052,
694.897775,
694.95,
694.997975,
695.10375,
695.140625,
695.2681,
695.367475,
695.392625,
695.43915,
695.6417,
695.7021,
695.772625,
695.884275,
696.067775,
696.188175,
696.294375,
696.332825,
696.354275,
696.44715,
696.566475,
696.604875,
696.6782,
696.834925,
696.892975,
696.963825,
697.10625,
697.163475,
697.2227,
697.23865,
697.2993,
697.3642,
697.51695,
697.589825,
697.7375,
697.80995,
