SPK_SPKC04a (artef),SPK_SPKC12b (exc)
473.380975,
473.432925,
473.509575,
473.590475,
473.6723,
473.795375,
473.8822,
473.922375,
474.030875,
474.082975,
474.337175,
474.460225,
474.549775,
474.62,
474.6722,
474.735675,
474.78075,
474.840325,
474.896375,
474.927025,
474.96715,
475.0031,
475.042425,
475.089825,
475.12875,
475.17825,
475.222425,
475.24455,
475.298725,
475.3636,
475.41545,
475.454275,
475.516,
475.5264,
475.58465,
475.632325,
475.667875,
475.7127,
475.7638,
475.7857,
475.8345,
475.883525,
475.936425,
475.98775,
476.0413,
476.13405,
476.163525,
476.189225,
476.303325,
476.3745,
476.42485,
476.545775,
476.64975,
476.72175,
477.089625,
477.2108,
477.248875,
477.331425,
477.4097,
477.480225,
477.5463,
477.640575,
477.69065,
477.815,
477.865225,
477.920775,
477.985525,
478.0157,
478.080925,
478.120675,
478.169125,
478.251975,
478.353325,
478.42105,
478.4587,
478.5359,
478.581525,
478.666025,
478.743875,
478.7927,
478.8872,
478.922375,
478.957725,
478.9923,
479.04155,
479.1359,
479.178375,
479.217425,
479.25595,
479.29385,
479.4487,
479.496875,
479.5569,
479.616,
479.667325,
479.8093,
479.903075,
479.95605,
480.004025,
480.02805,
480.08585,
480.1137,
480.1534,
480.1948,
480.34535,
480.40935,
480.469275,
480.547825,
480.6386,
480.66655,
480.705075,
480.760375,
480.8135,
480.9308,
480.979,
481.012,
481.056925,
481.090475,
481.1308,
481.2374,
481.2777,
481.3347,
481.37705,
481.4325,
481.49725,
481.565425,
481.607425,
481.654925,
481.726175,
481.7627,
481.827825,
482.027225,
482.082775,
482.1341,
482.202175,
482.2358,
482.563025,
482.6318,
482.704475,
482.7605,
482.82385,
482.88335,
482.923175,
482.9565,
483.0154,
483.089825,
483.12055,
483.17785,
483.261625,
483.29065,
483.34925,
483.414475,
483.51325,
483.575825,
483.626625,
483.662825,
483.700925,
483.7515,
483.8004,
483.84135,
483.940425,
484.038975,
484.084575,
484.13185,
484.18465,
484.237625,
484.35135,
484.413075,
484.47765,
484.5213,
484.57335,
484.62015,
484.6639,
484.7012,
484.80585,
484.86115,
484.91305,
484.968725,
485.033925,
485.146625,
485.2357,
485.279325,
485.374975,
485.410425,
485.466,
485.51995,
485.58025,
485.7645,
485.792475,
485.849325,
485.912125,
485.9573,
485.99815,
486.028075,
486.0699,
486.129975,
486.169725,
486.23795,
486.29705,
486.343475,
486.45895,
486.558575,
486.644375,
486.68665,
486.76335,
486.790175,
486.83455,
486.840225,
486.904375,
486.953975,
487.007575,
487.044775,
487.105,
487.13535,
487.1692,
487.230625,
487.381,
487.439025,
487.48855,
487.525825,
487.57425,
487.661075,
487.764775,
487.80025,
487.82825,
487.88285,
487.96,
488.067825,
488.14615,
488.210075,
488.736875,
488.83075,
488.907575,
488.953575,
488.99325,
489.033625,
489.0709,
489.12625,
489.180425,
489.225,
489.29535,
489.448875,
489.500175,
489.547375,
489.580425,
489.7574,
489.898,
489.9692,
490.0846,
490.1191,
490.163825,
490.22485,
490.299975,
490.35555,
490.402425,
490.448,
490.4956,
490.55125,
490.5974,
490.639875,
490.731675,
490.781775,
490.920525,
490.942375,
491.0685,
491.1423,
491.191175,
491.254075,
491.331275,
491.403,
491.453725,
491.496975,
491.614775,
491.6944,
491.763975,
491.829025,
491.929775,
491.985025,
492.0268,
492.0775,
492.14045,
492.2059,
492.259925,
492.478875,
492.5499,
492.59205,
492.6517,
492.712175,
492.772125,
492.869725,
492.940925,
492.9965,
493.03565,
493.12375,
493.1541,
493.2393,
493.291625,
493.344625,
493.4002,
493.48315,
493.535125,
493.586275,
493.65955,
493.81015,
493.85825,
494.008075,
494.067825,
494.124975,
494.26815,
494.3094,
494.44895,
494.57325,
494.6761,
494.708975,
494.76535,
494.806625,
494.87315,
494.963175,
495.0002,
495.072575,
495.1263,
495.187875,
495.238,
495.310125,
495.436975,
495.5014,
495.54725,
495.61145,
495.678675,
495.747825,
495.79765,
495.8551,
495.899175,
495.967425,
496.0469,
496.100575,
496.16705,
496.246,
496.2919,
496.33265,
496.397425,
496.54545,
496.592625,
496.7755,
496.8629,
496.9233,
497.094575,
497.1919,
497.3645,
497.5441,
497.6228,
497.697975,
497.843725,
497.891025,
497.94405,
498.004075,
498.0531,
498.27635,
498.4209,
498.6167,
498.65545,
498.715675,
498.768775,
498.822225,
498.880125,
498.920275,
498.99995,
499.047025,
499.098825,
499.133225,
499.16735,
499.20795,
499.293825,
499.388125,
499.434525,
499.63785,
