SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC10b,SPK_SPKC11a,SPK_SPKC16a
437.471775,436.79055,445.997575,429.676325,484.720025,421.083025,407.21305
437.76705,436.868375,446.090975,429.7105,484.8912,421.087275,407.2233
437.9477,436.947875,446.737725,429.7643,484.966275,421.126775,407.2368
438.1883,437.019225,446.755875,429.81005,485.2165,421.18155,407.258275
438.229575,437.04415,446.846,429.858725,485.30615,421.24915,407.277125
438.286175,437.115,446.887425,429.880225,485.5523,421.29925,407.29775
438.322025,437.1467,447.4205,429.901875,485.55655,421.335075,407.311375
438.376625,437.269,447.54695,429.978875,485.742875,421.354975,407.3331
438.458075,437.767175,447.63395,430.078075,485.868575,421.36985,407.371875
438.6558,437.94775,447.8758,430.13535,485.976825,421.378925,407.427275
438.8485,438.18835,448.188125,430.213275,486.01215,421.41925,407.605325
439.047,438.229575,448.258675,430.3001,486.080875,421.467725,407.618175
439.1964,438.286175,448.350725,430.403025,486.1087,421.517525,407.627775
439.243725,438.3221,448.4645,430.441275,486.1836,421.568325,407.638825
439.3122,438.376775,448.829425,430.535025,486.238425,421.578825,407.66535
439.446025,438.458125,448.92835,430.606175,486.24855,421.592825,407.676375
439.5932,438.655825,449.04215,430.6819,486.262925,421.670675,407.685825
439.693275,438.848525,449.112,430.706225,486.64665,421.756625,407.7081
440.045475,439.04705,449.189475,430.723775,487.4118,421.7914,407.721825
440.4213,439.1964,449.903925,430.775375,487.76265,421.79995,407.754425
441.057975,439.243775,450.198825,430.84,487.894825,421.84,407.784475
441.12965,439.312325,450.674975,430.8926,488.023925,421.913475,407.82085
441.1657,439.4461,451.048275,430.9411,488.0955,421.994375,407.866775
441.386675,439.593225,451.122275,430.97315,488.190325,422.057275,407.9057
441.5638,439.69335,451.323425,431.068825,488.33105,422.07665,407.94225
441.75415,440.045475,451.331925,431.13885,488.4154,422.119675,407.97735
441.81505,440.421375,451.401675,431.167875,488.46325,422.1447,408.02545
441.848825,441.05805,452.51425,431.267675,488.495525,422.284175,408.089625
441.981975,441.12965,452.577275,431.321675,488.566075,422.297875,408.1286
442.038225,441.16575,452.7303,431.345275,489.0248,422.42595,408.163375
