SPK_SPKC02a (no effect),SPK_SPKC08a (inhibited),SPK_SPKC09a (inhibited),SPK_SPKC13a (inhibited)
95.967775,129.479525,12.2202,9.302075
96.376125,129.68305,12.24635,9.3142
96.3839,130.585975,12.2585,9.38405
96.9239,131.0501,12.28295,9.39695
96.9413,131.720325,12.331025,9.4057
96.958975,132.44295,12.39485,9.420375
97.009825,132.46625,12.419225,9.430025
97.39015,132.611625,12.43735,9.47925
97.40145,132.972275,12.44465,9.489625
97.644875,133.256875,12.4694,9.520175
97.656275,133.2786,12.529125,9.5429
97.71135,133.4393,12.56095,9.623375
98.023475,133.609075,12.5771,9.649425
98.40505,133.694775,12.59085,9.6674
98.447675,133.777125,12.612275,9.688875
98.6226,133.875925,12.6361,9.696575
98.865725,133.9393,12.654675,9.749325
99.403125,134.015425,12.691525,9.7578
99.840025,134.48915,12.70645,9.78515
99.940925,134.59435,12.71905,9.8244
100.780975,134.712975,12.7488,9.85255
101.09105,134.9756,12.8118,9.8634
102.6047,135.277475,12.87845,9.92375
102.6354,135.41735,12.9035,9.9642
102.885275,136.11565,12.923475,9.990125
103.813675,136.6303,12.959775,9.996775
104.189325,136.662175,12.98105,10.007175
104.198425,136.727225,13.023325,10.03335
104.940075,136.8158,13.0512,10.18005
105.4016,137.117275,13.075425,10.1975
106.039,137.15915,13.17515,10.2054
106.1232,137.372275,13.2214,10.258625
106.1469,137.640625,13.24845,10.2666
106.595575,138.329475,13.274525,10.273375
107.035675,138.55325,13.34225,10.294775
107.319075,138.95995,13.367375,10.3179
108.69035,139.4859,13.386525,10.396475
109.981625,139.637575,13.416725,10.4089
110.75435,139.684975,13.4392,10.460525
110.783125,139.7628,13.478825,10.470875
110.8053,139.783925,13.552025,10.479075
110.9274,140.058275,13.606675,10.48745
110.942425,140.165575,13.65695,10.556525
110.9557,140.77065,13.681775,10.606
110.96665,140.979,13.693025,10.610225
110.977075,141.027325,13.72105,10.6182
110.990675,141.03955,13.773175,10.625325
110.99385,141.08415,13.867875,10.671225
111.041575,141.9118,13.89355,10.683175
111.0562,142.07055,13.907,10.6846
111.144275,142.130175,13.9301,10.72455
111.180725,142.347975,13.9999,10.7416
111.57875,142.502,14.037025,10.769025
111.606475,142.51755,14.122825,10.77445
113.48875,142.59515,14.138725,10.78355
114.408625,142.701,14.164825,10.79295
114.520925,143.4863,14.20325,10.843125
114.6136,143.774675,14.225275,10.858625
115.49095,143.8558,14.257575,10.902625
116.49345,144.361825,14.27275,10.9545
116.5316,144.3853,14.362375,11.056025
116.5508,144.6391,14.39045,11.086225
116.6202,144.89245,14.410225,11.094025
116.6885,145.28385,14.42465,11.10265
116.842125,145.42815,14.466425,11.119125
117.1474,145.49455,14.491425,11.148975
117.159425,145.720775,14.5706,11.176925
117.453675,146.087125,14.598775,11.1951
118.03415,146.577675,14.659075,11.210575
118.3226,146.658125,14.69475,11.2271
119.876225,147.17465,14.71605,11.24465
124.4789,147.242925,14.736,11.283225
124.589075,147.409325,14.752325,11.29445
124.608675,147.4774,14.787625,11.30365
124.62725,147.594525,14.804975,11.3144
124.63655,148.137925,14.85275,11.371475
125.1176,148.457675,14.8753,11.3909
125.4017,148.716,14.903625,11.4212
125.445175,148.73535,14.936475,11.4783
125.54875,148.766925,14.97145,11.4973
126.714525,149.277225,15.002475,11.523125
126.824975,149.674,15.030925,11.53985
127.34375,149.9804,15.068525,11.563075
127.623775,150.02495,15.116425,11.59365
129.0803,150.407,15.1604,11.704225
129.17165,150.8783,15.225225,11.756375
129.1756,150.9301,15.24375,11.762375
129.462,150.999075,15.268725,11.806325
129.472975,151.126975,15.350225,11.812425
129.493125,151.555675,15.37095,11.8888
129.753025,151.619575,15.40165,11.919275
129.76735,151.8086,15.418875,11.97145
131.322725,152.30665,15.42825,11.998125
133.087025,152.566225,15.454975,12.015325
133.487975,152.629675,15.468925,12.034125
133.739175,153.058025,15.484875,12.0379
134.085925,153.220625,15.504175,12.073425
134.635775,153.3794,15.521825,12.080125
135.367975,153.939075,15.547475,12.109725
137.11255,154.1704,15.607125,12.127525
138.6621,154.393675,15.634425,12.13475
139.2999,154.522825,15.66565,12.160825
143.6268,155.6703,15.706175,12.169725
143.883025,156.005,15.740975,12.236225
143.888125,156.0721,15.7766,12.264575
143.969075,156.13055,15.795075,12.30105
144.010125,156.261875,15.80725,12.3479
144.667175,156.265,15.905375,12.356225
145.870225,156.4585,15.9212,12.374
145.890825,156.48045,15.959775,12.439375
145.90355,156.662125,15.97535,12.47685
146.355875,156.80175,16.012275,12.49315
146.3602,157.084675,16.0324,12.504075
146.3741,157.2025,16.065475,12.5196
146.65755,157.463725,16.07905,12.543825
147.55545,157.6959,16.099575,12.55305
148.006825,157.767375,16.11815,12.582175
148.06245,157.9742,16.132625,12.593075
149.982425,158.071025,16.15015,12.616175
153.42215,158.302625,16.21355,12.6443
153.437,158.70855,16.23595,12.670375
153.479175,158.9024,16.2838,12.6866
156.478275,158.950225,16.319125,12.6955
156.636775,158.9686,16.3398,12.77405
159.0263,159.210375,16.378375,12.78465
159.166425,159.273875,16.4088,12.82045
159.421525,159.635675,16.44445,12.827425
159.608075,160.025025,16.475475,12.8596
161.97125,160.4846,16.48885,12.896825
163.1572,160.502775,16.510925,12.904
163.1861,160.82445,16.544075,12.910975
164.747975,160.868,16.5602,12.933225
165.146325,161.395175,16.5808,12.944525
165.2346,161.830375,16.600025,12.963675
165.2949,162.194575,16.6174,12.976925
165.393425,163.132225,16.63585,12.995125
165.431525,163.174475,16.667575,13.094375
165.59925,163.2298,16.687175,13.114175
165.671925,163.742775,16.698325,13.156575
166.0586,164.09425,16.7152,13.210225
166.253675,164.214125,16.762275,13.248325
166.56925,164.5726,16.824,13.328875
168.365725,165.113575,16.845675,13.370525
168.5789,165.2566,16.8988,13.384875
169.70115,165.450675,16.91425,13.4061
169.769075,165.545925,16.933175,13.425525
169.785375,165.67855,16.955175,13.4512
169.8141,165.869625,16.977775,13.468175
169.93725,166.291525,16.993825,13.52155
169.94005,167.7355,17.015575,13.52945
170.3712,167.835925,17.045175,13.546025
171.07215,168.027675,17.062425,13.555375
171.081175,168.087075,17.1227,13.56075
173.85515,168.1112,17.162025,13.584375
174.2113,168.13975,17.18095,13.5958
174.2191,168.3681,17.212425,13.626275
174.255225,168.508275,17.27055,13.644
174.41475,168.85285,17.343775,13.6963
174.76,168.977275,17.393975,13.705875
176.162625,168.978325,17.512975,13.70945
176.4951,169.0532,17.5523,13.729425
178.905525,169.812175,17.5788,13.73495
178.969975,169.838525,17.616325,13.74275
178.999275,170.092675,17.669625,13.75345
179.260275,170.097875,17.690075,13.7599
182.092225,170.166575,17.737275,13.7713
182.1479,170.9164,17.759275,13.791775
182.5718,171.207325,17.817075,13.846675
182.59075,171.6721,17.94155,13.8596
182.8156,171.780575,17.974525,13.90905
182.98705,172.150775,18.0339,13.9216
183.1047,172.317225,18.054825,13.93245
183.336025,172.651825,18.09545,13.942275
183.34005,173.0412,18.13465,13.9555
184.54155,173.18205,18.171025,13.98875
184.991475,173.49955,18.19765,14.014275
189.19125,174.316325,18.2272,14.0596
189.194425,174.57545,18.273125,14.06985
189.49485,174.9623,18.285975,14.14515
189.737025,175.039125,18.443075,14.219875
189.839575,175.4538,18.457175,14.2727
190.6045,175.6883,18.476725,14.28555
190.637325,175.9808,18.503275,14.2911
192.01225,175.9988,18.530125,14.308875
192.281775,176.3791,18.573,14.3168
192.54975,177.734675,18.590525,14.328175
195.19925,177.7413,18.630525,14.336325
202.862975,177.79505,18.689975,14.426225
202.8979,178.777,18.74255,14.452
203.2087,178.829525,18.75295,14.460375
203.2236,179.062275,18.7858,14.4824
203.37305,179.259575,18.797975,14.49835
203.43255,179.604275,18.885125,14.56965
203.6523,180.9322,18.9128,14.57975
203.728075,181.015225,18.95385,14.6017
203.7806,181.049525,18.991075,14.67275
204.15105,181.213675,19.016275,14.6935
204.301025,182.105825,19.070325,14.7058
205.9562,182.29735,19.105225,14.735125
206.08175,182.449725,19.153725,14.790975
206.25715,182.570475,19.1904,14.832425
206.31505,183.154,19.199475,14.843075
206.5506,183.310275,19.207675,14.8772
206.86135,183.39315,19.221325,14.970125
206.92955,183.92175,19.24825,14.98555
206.9925,184.4946,19.26575,15.0022
207.199575,184.55315,19.30935,15.006675
207.796225,184.709725,19.360625,15.023225
208.450925,184.773025,19.401125,15.046675
210.16695,184.96845,19.431475,15.05195
210.963175,185.142025,19.4739,15.15755
212.793,185.154725,19.52595,15.198775
214.4951,185.2047,19.580175,15.222925
214.98895,185.26295,19.630775,15.244975
215.2933,186.723675,19.651375,15.266725
215.322,187.038275,19.669525,15.2823
215.8118,187.120225,19.700025,15.2923
216.68865,187.15415,19.7196,15.3082
216.74405,187.24345,19.73605,15.32755
217.375,187.59605,19.7516,15.331025
217.700325,187.780425,19.757925,15.381575
217.717425,188.115025,19.7737,15.438025
218.5449,188.3456,19.79715,15.494525
218.717225,188.6782,19.848075,15.500975
219.617525,189.345575,19.893875,15.534375
219.887725,189.377875,19.929125,15.546475
220.901075,189.9104,19.979,15.5976
220.967375,190.398775,20.03235,15.7576
222.14505,190.488825,20.15435,15.849275
222.202225,190.5355,20.17535,15.86865
222.55835,190.662475,20.193125,15.88155
223.0375,192.292125,20.216125,15.9138
223.21805,192.3712,20.272575,15.953175
224.364525,192.5516,20.2979,15.965925
225.151225,193.229975,20.348775,15.97535
225.6129,193.65505,20.41825,15.97795
226.277725,193.934625,20.445375,15.989575
226.683725,194.2845,20.4671,15.99725
226.76035,194.509175,20.48975,16.030775
226.8091,194.978825,20.5506,16.084525
231.241225,195.075825,20.5964,16.095125
231.567,195.1723,20.6265,16.12195
231.7842,195.872725,20.653775,16.1445
231.792175,195.9681,20.683425,16.183225
231.934225,196.3718,20.71945,16.203125
232.26145,196.4324,20.743525,16.211625
233.03715,196.770275,20.7811,16.22115
235.2793,196.8186,20.812425,16.2574
235.40185,197.65815,20.8325,16.266225
235.66495,197.99395,20.8479,16.297225
235.669,198.074825,20.8562,16.358175
235.886575,198.215975,20.881475,16.39555
240.607125,198.69325,20.8994,16.41585
240.719925,199.07935,20.9447,16.472375
240.722625,199.371575,21.019125,16.565325
241.227625,199.77675,21.069875,16.59955
241.264825,199.84095,21.09555,16.636275
242.226475,199.923525,21.117275,16.69575
242.29205,200.154625,21.1619,16.701875
242.4175,200.257775,21.18095,16.71095
242.42975,200.28285,21.204525,16.72965
242.456025,200.59895,21.2241,16.742025
242.473225,201.038675,21.25225,16.7621
242.678825,201.260925,21.2924,16.805425
242.76135,201.91015,21.31255,16.865
242.8021,202.547075,21.32845,16.88735
243.14015,202.5637,21.344975,16.91685
243.42315,202.7665,21.356825,16.99495
243.430325,202.8058,21.370425,17.133575
243.49015,203.1482,21.391625,17.169525
244.0147,203.2391,21.404025,17.197875
244.699675,203.331275,21.4174,17.20375
244.7211,203.397775,21.42285,17.210925
244.9399,203.4563,21.43475,17.227975
245.590825,203.822825,21.462125,17.239775
245.887125,204.402325,21.472675,17.28315
246.307275,204.43645,21.484,17.3183
246.3157,204.4589,21.4964,17.340825
246.811275,204.812525,21.537725,17.4341
248.508375,204.91075,21.556825,17.463775
248.866875,205.0303,21.572775,17.529175
249.518675,205.148125,21.604875,17.5712
251.193975,205.778725,21.6259,17.578525
251.404325,206.5303,21.644875,17.59175
251.64475,206.84385,21.6612,17.599825
251.711525,207.1247,21.716225,17.642725
252.115575,207.4746,21.7674,17.653225
252.18805,207.677025,21.788375,17.698275
253.43825,207.82965,21.795525,17.705775
255.430225,208.343825,21.8281,17.7438
255.510175,208.63475,21.852325,17.751025
256.2653,208.768425,21.859775,17.7681
256.9614,208.941425,21.87135,17.775125
257.3019,208.98795,21.923925,17.81365
258.48145,209.244775,21.93965,17.83975
259.459,209.2785,21.950475,17.89315
260.325925,209.304225,21.977725,17.90465
260.83715,209.6458,22.012475,17.942375
260.848225,209.81705,22.02915,17.9938
261.917975,210.666225,22.060925,18.059025
261.96,211.3874,22.084625,18.106
262.06165,211.878575,22.10475,18.130825
262.280725,211.911475,22.12885,18.14885
262.845275,211.939775,22.14315,18.186575
263.81765,211.995875,22.1713,18.23375
263.883,212.2875,22.1997,18.3042
265.9759,212.38065,22.207675,18.30625
269.1139,212.492275,22.23885,18.329925
269.776025,212.708625,22.28215,18.34285
273.316525,213.20435,22.388225,18.35935
273.503075,213.519225,22.409175,18.418925
273.5094,213.660925,22.43605,18.46365
273.528075,213.68485,22.508,18.4749
273.838875,214.469375,22.5274,18.49255
274.24515,215.775375,22.551475,18.498725
274.535075,215.860125,22.5693,18.528525
276.3097,215.9378,22.594025,18.554
276.365625,216.19285,22.6203,18.633125
276.79355,216.3847,22.6431,18.66085
278.6957,216.7616,22.65825,18.6695
279.342525,216.792775,22.701,18.6779
279.378575,217.035775,22.734175,18.71265
279.673225,217.117775,22.7557,18.751175
281.676925,217.27515,22.779775,18.768475
282.406175,217.37655,22.79465,18.800675
282.4116,218.122775,22.80635,18.880125
283.725625,218.322875,22.817475,19.010425
283.81715,218.74965,22.8417,19.021225
284.350475,218.833775,22.8595,19.0663
284.441125,219.222525,22.8873,19.07785
285.917625,219.2463,22.9078,19.0969
286.062125,219.30015,22.940825,19.108075
