SPK_SPKC02a (inhi),SPK_SPKC09a (no opto-tagging),SPK_SPKC10a (no opto-tagging)
109.147275,,45.245175
109.27915,,45.26695
109.369375,,45.285625
109.450575,,45.298
109.500575,,45.312675
109.535125,,45.338825
109.608325,,45.357375
109.707775,,45.377525
109.7564,,45.3954
109.80065,,45.41515
109.8844,,45.441525
109.984475,,45.4725
110.064675,,45.48605
110.1264,,45.5121
110.1798,,45.534375
110.249175,,45.629975
110.397625,,45.643
110.456825,,45.6679
110.6195,,45.690075
110.6901,,45.716825
110.7445,,45.72835
110.80365,,45.74975
110.899175,,45.7634
110.977225,,45.77965
111.062675,,45.7921
111.11735,,45.807075
111.183275,,45.8287
111.26425,,45.83925
111.36885,,45.859725
111.414025,,45.8848
111.4638,,45.9013
111.5072,,45.917
111.56835,,45.93795
111.62225,,45.9866
111.684325,,46.110325
111.7462,,46.162375
111.797275,,46.191625
111.87355,,46.21555
111.936725,,46.25875
111.98775,,46.277475
112.02705,,46.3023
112.0673,,46.323825
112.1243,,46.33885
112.15195,,46.372975
112.261975,,46.3966
112.3216,,46.412575
112.3681,,46.453275
112.419225,,46.477025
112.503125,,46.495675
112.555075,,46.51775
112.614775,,46.547925
112.6867,,46.57385
112.748825,,46.610975
112.832225,,46.635075
112.88955,,46.669825
112.963125,,46.6885
113.036175,,46.702575
113.104775,,46.745375
113.1657,,46.7834
113.21095,,46.806875
