SPK_SPKC06a (NA),SPK_SPKC08a (NA),SPK_SPKC13a (excited),SPK_SPKC13b (excited),SPK_SPKC16a (NA)
,,16.262125,,
,,16.290225,,
,,16.34555,,
,,16.386,,
,,16.4117,,
,,16.4474,,
,,16.47725,,
,,16.508025,,
,,16.5327,,
,,16.555975,,
,,16.58515,,
,,16.60725,,
,,16.637175,,
,,16.660425,,
,,16.6885,,
,,16.709025,,
,,16.735275,,
,,16.7553,,
,,16.783875,,
,,16.8167,,
,,16.82475,,
,,16.844325,,
,,16.862925,,
,,16.881175,,
,,16.9144,,
,,16.949625,,
,,16.9723,,
,,17.01285,,
,,17.0403,,
,,17.063925,,
,,17.08475,,
,,17.183075,,
,,17.1877,,
,,17.365625,,
,,17.411325,,
,,17.43535,,
,,17.45615,,
,,17.491275,,
,,17.518675,,
,,17.544025,,
,,17.589075,,
,,17.614925,,
,,17.6492,,
,,17.670975,,
,,17.7003,,
,,17.72835,,
,,17.7529,,
,,17.7733,,
,,17.809475,,
,,17.829725,,
,,17.86295,,
,,17.89415,,
,,17.91795,,
,,17.9517,,
,,17.977925,,
,,18.0053,,
,,18.03305,,
,,18.0671,,
,,18.103575,,
,,18.138475,,
,,18.161725,,
,,18.180325,,
,,18.2272,,
,,18.2345,,
,,18.274675,,
,,18.3017,,
,,18.322275,,
,,18.34545,,
,,18.3702,,
,,18.383275,,
,,18.40435,,
,,18.412725,,
,,18.43105,,
,,18.438825,,
,,18.458225,,
,,18.482525,,
,,18.496225,,
,,18.50965,,
,,18.52,,
,,18.5267,,
,,18.5401,,
,,18.553625,,
,,18.565,,
,,18.6062,,
,,18.633275,,
,,18.657975,,
,,18.68465,,
,,18.721925,,
,,18.729125,,
,,18.75715,,
,,18.7826,,
,,18.807925,,
,,18.8385,,
,,18.8649,,
,,18.9103,,
,,18.95325,,
,,18.98765,,
,,19.00805,,
,,19.040775,,
,,19.07395,,
,,19.090875,,
,,19.1126,,
,,19.13055,,
,,19.155775,,
,,19.179275,,
,,19.2085,,
,,19.23425,,
,,19.256825,,
,,19.2885,,
,,19.423875,,
,,19.4496,,
,,19.4906,,
,,19.528625,,
,,19.552375,,
,,19.58605,,
,,19.6248,,
,,19.657925,,
,,19.678625,,
,,19.708625,,
,,19.72455,,
,,19.7487,,
,,19.759725,,
,,19.77005,,
,,19.7812,,
,,19.792425,,
,,19.806975,,
,,19.8168,,
,,19.853475,,
,,19.876475,,
,,19.90575,,
,,19.91045,,
,,19.929125,,
,,19.94225,,
,,19.961975,,
,,19.98685,,
,,20.005925,,
,,20.07945,,
,,20.12155,,
,,20.145375,,
,,20.177775,,
,,20.209675,,
,,20.23515,,
,,20.27455,,
,,20.300525,,
,,20.346,,
,,20.367975,,
,,20.3872,,
,,20.415475,,
,,20.45165,,
,,20.482825,,
,,20.52505,,
,,20.552425,,
,,20.585375,,
,,20.642725,,
,,20.673225,,
,,20.703575,,
,,20.71795,,
,,20.733575,,
,,20.750825,,
,,20.776575,,
,,20.7997,,
,,20.827825,,
,,20.8487,,
,,20.872225,,
,,20.898225,,
,,20.925375,,
,,20.9455,,
,,20.964625,,
,,20.98885,,
,,21.009925,,
,,21.0365,,
,,21.075475,,
,,21.1036,,
,,21.1324,,
,,21.16275,,
,,21.1901,,
,,21.23875,,
,,21.27425,,
,,21.30895,,
,,21.3319,,
,,21.3569,,
,,21.36895,,
,,21.37585,,
,,21.39455,,
,,21.451625,,
,,21.492675,,
,,21.529175,,
,,21.571475,,
,,21.616775,,
,,21.6416,,
,,21.653625,,
,,21.663525,,
,,21.672925,,
,,21.68605,,
,,21.703625,,
,,21.71105,,
,,21.733825,,
,,21.74775,,
,,21.7618,,
,,21.786425,,
,,21.796475,,
,,21.8036,,
,,21.817325,,
,,21.869575,,
,,21.9033,,
,,21.93385,,
,,21.968075,,
,,22.001475,,
,,22.02815,,
,,22.054825,,
,,22.0856,,
,,22.125125,,
,,22.1543,,
,,22.1762,,
,,22.19315,,
,,22.212875,,
,,22.262325,,
,,22.315275,,
,,22.33465,,
,,22.363525,,
,,22.383475,,
,,22.4109,,
,,22.4451,,
,,22.475325,,
,,22.498575,,
,,22.532125,,
,,22.572125,,
,,22.6002,,
,,22.628225,,
,,22.664625,,
,,22.701375,,
,,22.70835,,
,,22.735675,,
,,22.746425,,
,,22.750075,,
,,22.77225,,
,,22.80065,,
,,22.8384,,
,,22.873175,,
,,22.896725,,
,,22.930975,,
,,22.9776,,
,,23.017225,,
,,23.052875,,
,,23.08245,,
,,23.112875,,
,,23.139275,,
,,23.1837,,
,,23.186325,,
,,23.214675,,
,,23.24855,,
,,23.2803,,
,,23.340375,,
,,23.351625,,
,,23.3691,,
,,23.3824,,
,,23.39755,,
,,23.4145,,
,,23.4352,,
,,23.4519,,
,,23.4738,,
,,23.502225,,
,,23.52475,,
,,23.563125,,
,,23.607375,,
,,23.6485,,
,,23.68235,,
,,23.711375,,
,,23.7409,,
,,23.7586,,
,,23.772925,,
,,23.783,,
,,23.81035,,
,,23.84215,,
,,23.87395,,
,,23.91275,,
,,23.95735,,
,,23.990225,,
,,24.0175,,
,,24.0338,,
,,24.066875,,
,,24.071975,,
,,24.093125,,
,,24.110925,,
,,24.13185,,
,,24.15675,,
,,24.1728,,
,,24.199325,,
,,24.22555,,
,,24.2522,,
,,24.270925,,
,,24.2952,,
,,24.29705,,
,,24.3193,,
,,24.341175,,
,,24.360475,,
,,24.377975,,
,,24.3953,,
,,24.4361,,
,,24.451875,,
,,24.47595,,
,,24.498775,,
,,24.526225,,
,,24.5508,,
,,24.5691,,
,,24.58985,,
,,24.6114,,
,,24.637775,,
,,24.658725,,
,,24.68875,,
,,24.72845,,
,,24.772375,,
,,24.79835,,
,,24.82975,,
,,24.868975,,
,,24.897275,,
,,24.927675,,
,,24.97275,,
,,25.000875,,
,,25.064375,,
,,25.06925,,
,,25.081025,,
,,25.09435,,
,,25.110125,,
,,25.1213,,
,,25.1524,,
,,25.188825,,
,,25.20275,,
,,25.2323,,
,,25.2563,,
,,25.277875,,
,,25.302825,,
,,25.3382,,
,,25.3696,,
,,25.396375,,
,,25.448475,,
,,25.480725,,
,,25.519725,,
,,25.5441,,
,,25.56475,,
,,25.591925,,
,,25.619425,,
,,25.65135,,
,,25.67245,,
,,25.7089,,
,,25.745875,,
,,25.786225,,
,,25.818925,,
,,25.86215,,
,,25.9001,,
,,25.93875,,
,,25.95965,,
,,25.988475,,
,,26.015625,,
,,26.036175,,
,,26.067975,,
,,26.09525,,
,,26.1335,,
,,26.165,,
,,26.2046,,
,,26.250375,,
,,26.289975,,
,,26.32365,,
,,26.358175,,
,,26.394275,,
,,26.4256,,
,,26.453425,,
,,26.487975,,
,,26.516,,
,,26.554375,,
,,26.57285,,
,,26.591825,,
,,26.6171,,
,,26.64215,,
,,26.655275,,
