SPK_SPKC02b,SPK_SPKC02c,SPK_SPKC09a
224.46805,231.73305,210.17265
224.4844,231.760125,210.181325
224.552125,231.82795,210.19895
224.68945,231.841775,210.216725
224.701325,231.91315,210.23045
224.7228,231.943875,210.25115
224.756425,231.963875,210.259625
224.7777,231.971275,210.299775
224.865725,232.0596,210.3416
224.9856,232.0815,210.391575
225.051925,232.14795,210.422925
225.058,232.278375,210.46175
225.06795,232.297425,210.4836
225.072725,232.3293,210.492925
225.08735,232.37815,210.49995
225.0908,232.41225,210.50535
225.103675,232.449625,210.509825
225.1084,232.50565,210.515375
225.1178,232.527875,210.519975
225.122175,232.588725,210.5259
225.130375,232.6145,210.531225
225.150925,232.7304,210.5463
225.1647,232.793225,210.56595
225.17165,232.804875,210.597025
225.29545,232.8157,210.60835
225.561775,232.821475,210.6192
225.57115,232.85445,210.628075
225.7331,232.887975,210.6403
225.864,232.922025,210.68585
225.870575,232.9449,210.73225
225.876975,232.975,210.74655
225.88355,233.026,210.79465
225.889575,233.2837,210.812075
225.8937,233.28725,210.848025
225.8981,233.294325,210.8594
225.90685,233.300575,210.8727
225.92695,233.308,210.8854
225.9318,233.3231,210.9109
225.9375,233.35275,210.926375
225.955575,233.422775,210.954675
225.979125,233.447575,210.995025
225.986275,233.537975,211.02275
225.995775,233.582325,211.061075
226.0075,233.87935,211.0991
226.028175,233.926125,211.114475
226.0566,233.9667,211.12385
226.091425,234.30465,211.15825
226.1402,234.3209,211.1726
226.3656,234.410825,211.207175
226.37205,234.6312,211.2395
226.37655,234.6544,211.28975
226.387625,234.668925,211.35085
226.390075,234.683,211.37975
226.397525,234.691625,211.405025
226.4034,234.703175,211.508325
226.40765,234.70935,211.55805
226.4112,234.71635,211.623975
226.42015,234.7713,211.63235
226.431325,234.797625,211.640875
226.435525,234.819925,211.64895
226.448675,234.867375,211.65875
226.4555,234.90485,211.667975
226.46135,234.947775,211.6852
226.4671,234.983975,211.693075
226.49185,235.02295,211.702025
226.498175,235.078175,211.710825
226.520925,235.086675,211.72875
226.53435,235.094925,211.73655
226.54305,235.166975,211.751075
226.587425,235.2133,211.766075
226.695825,235.23225,211.776
226.782825,235.24405,211.789825
226.788675,235.328,211.799875
226.797775,235.41975,211.821275
