SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC09a,SPK_SPKC12b,SPK_SPKC13c,SPK_SPKC14a,SPK_SPKC16a
101.79055,177.11305,59.00285,57.108075,40.571075,11.594625,8.823475
101.82775,177.115925,59.02225,57.13685,40.62675,11.604125,8.841625
102.247325,178.025775,59.0655,57.191425,40.639875,11.872375,8.867875
102.77765,178.580325,59.0777,57.201725,40.654925,11.888925,8.880675
102.951,178.59815,59.11815,57.512825,40.82215,11.9056,8.918825
102.9562,178.704375,59.14685,57.56685,40.866175,11.918925,8.93755
103.368275,179.2934,59.223175,57.625225,40.946975,11.951775,8.9545
103.779675,179.309375,59.258025,57.64895,40.9892,11.973975,9.03675
104.1506,179.3353,59.278775,57.686425,41.020275,11.97935,9.21635
104.34835,179.765625,59.331975,57.7013,41.10095,11.985975,9.242075
106.207125,179.8769,59.402075,57.7176,41.188075,12.136375,9.279
106.217125,179.95825,59.47515,57.73645,41.314925,12.4284,9.29615
106.225475,180.6787,59.4906,57.74925,41.327275,12.434925,9.349275
106.24545,181.8317,59.557475,57.77005,41.357375,12.4668,9.365825
106.713525,181.917475,59.569325,57.799375,41.6963,12.480775,9.643925
106.796,182.126775,59.619125,58.073375,41.91355,12.493975,9.691525
107.76765,182.263675,59.8011,58.0882,41.9937,12.5083,9.73375
108.854025,182.62575,59.94065,58.107375,42.4961,12.5216,9.7765
109.137775,182.833425,60.029875,58.136275,42.510125,12.537025,9.786925
109.3502,182.852825,60.04575,58.15295,42.560375,12.55085,10.058725
109.7406,184.570625,60.160075,58.164475,42.629675,12.561375,10.14775
109.7775,185.405275,60.178075,58.181225,42.771075,12.96645,10.1654
109.81735,185.495775,60.2136,58.18845,42.809725,12.997225,10.195475
109.8395,186.182975,60.29885,58.447025,42.85705,13.022975,10.227025
110.115,186.56,60.413425,58.68595,42.885825,13.04745,10.261775
110.120625,186.57815,60.431475,58.892475,43.338175,13.069725,10.27995
110.18125,186.795025,60.508975,59.136125,43.370275,13.2096,10.30625
110.6198,187.65865,60.538525,60.0028,43.842475,13.222275,10.315325
111.031825,188.138,60.686275,62.383275,44.2438,13.24875,10.4234
111.47495,189.366975,60.766575,62.820025,44.265375,13.256175,10.4467
111.97655,189.6242,60.8862,63.549925,44.928,13.274625,10.50185
112.416275,189.78635,60.916075,64.505775,45.071325,13.2964,10.6754
114.358575,190.1338,60.9671,64.533575,45.274525,13.30925,10.689475
114.398075,190.16695,61.106475,64.60735,46.0179,13.355075,10.706075
115.437025,192.7992,61.188125,65.037475,46.166275,13.38665,10.736475
116.089,194.552125,61.230375,65.67935,46.225825,13.403375,11.01785
116.381375,194.56325,61.316075,66.36065,46.2484,13.416725,11.047
116.406125,194.802625,61.353,67.515575,46.28605,13.574075,11.100625
116.71925,195.5664,61.3868,67.554075,46.366175,13.588775,11.1519
117.4445,195.63205,61.404525,67.670725,46.481075,13.60485,11.16905
117.52,196.255325,61.419025,67.8769,46.51575,13.6167,11.215375
117.53375,198.287625,61.489075,67.9243,47.4395,13.62585,11.264725
117.770025,201.34045,61.519425,67.9519,48.46355,13.646775,11.291525
118.79955,201.661425,61.53415,68.012625,48.496325,13.6598,11.489175
119.152525,201.673575,61.577275,68.095275,49.27925,13.668475,11.503525
119.4738,203.970325,61.621575,68.411925,49.417375,13.695475,11.536525
119.7682,204.363225,61.685225,68.452925,49.881125,13.7345,11.550525
119.8473,204.436425,61.75765,69.308575,50.452725,13.754075,11.583675
120.1986,206.10545,61.811325,69.3874,50.649025,13.7696,11.590375
121.228875,206.601025,61.864,69.43685,50.902475,13.777225,11.598475
121.813875,208.454,62.02915,69.635175,51.314225,13.8315,11.618575
124.871025,208.473125,62.07265,69.7565,51.67885,14.211175,11.6513
124.881475,209.23425,62.09745,69.769975,51.684,14.372025,11.660675
126.1143,209.32645,62.1267,69.781925,51.717575,14.39255,11.85735
127.4041,209.761025,62.159175,69.7935,51.925525,14.4162,11.900525
127.761375,210.2835,62.31985,69.815675,52.196125,14.427875,11.94115
127.781975,210.86735,62.345175,69.835825,53.022725,14.442975,11.964325
128.15045,210.99475,62.37415,69.867425,53.040925,14.459225,11.98265
128.186825,211.53695,62.4255,70.05875,54.0452,14.46705,12.03425
128.971025,212.0615,62.466675,70.193875,54.08565,14.48085,12.08105
129.3969,212.7097,62.6321,70.24365,54.43475,14.4874,12.448175
129.438575,213.739125,62.65735,70.2891,54.483525,14.75805,12.520175
129.484625,215.542525,62.68495,70.3325,54.942075,14.77805,12.5708
129.514775,215.5528,62.7558,72.41045,55.0471,14.795925,12.67755
129.841325,216.0084,62.78955,72.6537,55.260975,14.826375,12.694525
129.949725,216.03725,62.8039,73.315625,55.384375,14.886375,12.9935
131.329175,216.052,62.8268,74.060725,55.620225,14.9384,13.006575
131.43105,216.668225,62.881575,74.39425,55.640025,15.0909,13.0265
132.320475,217.860675,62.92345,76.01115,55.67725,15.21255,13.063
132.4282,217.87505,62.972875,76.2165,56.091875,15.235375,13.075225
132.547,217.926975,62.995225,76.306225,56.1173,15.237675,13.12105
133.811,218.5316,63.0481,76.387475,56.4535,15.25345,13.24165
133.907175,218.94755,63.06535,76.60325,56.569575,15.27945,13.2575
135.294675,219.3184,63.100225,76.8693,56.616875,15.329375,13.280525
135.3228,219.33785,63.17805,76.8877,56.6707,15.345475,13.29995
135.939225,219.5444,63.4742,76.91,56.97775,15.396,13.321525
135.946025,219.756725,63.6382,76.99155,57.04965,15.4776,13.343325
136.128975,219.758475,63.889275,77.12085,57.065925,15.56025,13.374775
136.91475,219.925775,63.917025,77.1701,57.181775,15.571925,13.412425
136.93915,220.20435,63.9539,77.193425,57.468075,15.592725,13.460775
137.521525,220.226475,64.294025,77.441075,57.541625,15.61685,13.485375
137.7743,220.745975,64.376825,77.5263,57.580225,15.6428,13.53395
139.639325,220.75365,64.448,78.341125,58.03085,15.667,13.59685
140.3265,220.792475,64.478,78.4722,58.068925,15.707625,13.635425
140.421625,220.81355,64.49575,78.51935,58.170275,15.756325,13.690875
140.444525,221.266225,64.50505,78.580475,58.181225,15.759275,13.70815
140.72885,221.593125,64.523275,78.63465,58.271175,15.785625,13.7429
140.81655,222.1988,64.5709,78.685375,58.3347,15.81015,13.75755
141.071875,222.297275,64.5922,78.82615,58.3793,15.8332,13.765625
141.92725,222.39835,64.608325,78.960975,58.4176,15.83615,13.7844
142.738825,222.707675,64.62475,78.973275,58.44705,15.863875,13.813725
143.3602,223.068275,64.657125,81.35895,58.480725,15.896375,13.823225
143.585175,223.456425,64.668175,81.985875,58.50025,15.930175,13.859
143.628075,223.510325,64.67875,82.688925,58.533575,15.953825,13.87535
