SPK_SPKC01a (inhibited),SPK_SPKC03a (excitation + inhibition),SPK_SPKC04a (excited),SPK_SPKC04b (inhibited),SPK_SPKC08a (inhibition + excitation),SPK_SPKC09a (excitation + inhibition),SPK_SPKC09b (no effect),SPK_SPKC12a (weak inhibition),SPK_SPKC16a (excited),SPK_SPKC16b (excited)
5.1622,41.751975,138.804225,17.393225,74.59595,19.6769,5.933575,12.3172,539.580525,10.119475
5.1648,42.367225,139.731675,17.4324,74.74225,19.7593,5.969875,12.345125,546.913325,10.1375
5.247575,42.434575,140.116475,17.4446,74.854575,19.802575,5.99275,12.3914,552.29315,10.173625
5.2525,42.550325,140.320975,17.631,75.160275,19.891075,6.01185,12.39935,557.513925,10.1804
5.2639,42.771125,140.72665,18.029075,75.2959,20.074875,6.0207,12.43135,563.550625,10.189225
5.2833,43.0618,141.24225,18.1733,75.3093,20.101975,6.1186,12.439825,563.920925,10.207975
5.32585,43.52885,144.82435,18.273925,75.63385,20.11935,6.145325,12.482775,566.105,10.271975
5.3286,43.655,145.19225,18.283375,75.906875,20.14145,6.185125,12.48675,566.670525,10.2948
5.35065,43.665775,146.40855,18.330925,76.131475,20.29845,6.18625,12.525125,580.849225,10.3013
5.370125,44.56445,146.4425,18.3437,76.333975,20.6913,6.2215,12.559525,586.63095,10.308225
5.3741,44.894625,147.186175,18.387925,76.548975,20.72875,6.257375,12.57685,587.06155,10.31875
5.38815,45.27595,147.2256,18.479225,78.49035,20.7387,6.278125,12.660275,592.938125,10.321025
5.3915,45.811475,147.9331,18.48375,79.240625,20.751575,6.30065,12.68105,596.521775,10.390025
5.399575,45.951025,148.090725,18.592575,80.647475,20.754375,6.31395,12.709575,599.3191,10.41325
5.41665,45.96735,148.1856,18.656225,81.268875,20.794575,6.338475,12.713425,600.05085,10.613175
5.4634,46.22375,149.3061,18.67615,81.3172,20.840125,6.38,12.8672,600.068875,10.658025
5.510125,46.257325,149.57655,18.7721,81.532025,21.0686,6.41785,12.985825,600.468925,10.67275
5.5249,46.291,150.8376,18.91055,81.867175,21.223425,6.45335,13.143725,600.53695,10.7094
5.542275,46.45595,158.751775,18.933575,81.97925,21.2405,6.467175,13.1695,600.6668,10.7521
5.5617,46.723,162.484,19.00835,82.7668,21.2927,6.49905,13.277075,600.835675,10.828425
5.59725,46.8615,163.669275,19.1421,82.94705,21.388075,6.52595,13.36885,601.3451,10.858625
5.6305,47.016475,164.093675,19.153475,83.50745,21.413925,6.564475,13.4135,601.564075,10.92225
5.635575,47.159225,166.7985,19.289825,84.350975,21.586475,6.58675,13.54435,603.25,10.92965
5.70185,47.266975,167.0598,19.3052,85.95815,21.59695,6.651675,13.623975,606.77305,10.9512
5.75405,47.2735,167.5867,19.3343,86.68565,21.633375,6.68665,13.718925,609.695225,10.97615
5.756725,47.382825,167.745025,19.34465,87.112925,21.792,6.741025,13.72725,610.196425,11.003675
5.807275,47.914425,168.426475,19.34685,87.49005,21.941625,6.753525,13.927875,614.5394,11.01175
5.83465,48.3933,169.614075,19.539275,88.0359,21.997375,6.75815,14.013725,632.969775,11.0174
5.84485,49.12925,172.5297,19.615975,88.178975,22.006975,6.7854,14.057525,642.486275,11.04655
5.8477,49.1471,172.629175,19.653275,88.615125,22.031675,6.826775,14.131175,661.636125,11.069575
5.8578,49.16935,173.6567,19.6839,88.796575,22.262,6.86115,14.13925,669.274175,11.11185
5.875775,49.69495,173.8069,19.7295,89.2839,22.298925,6.89885,14.165075,669.680925,11.161925
