SPK_SPKC02b,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a,SPK_SPKC15a,SPK_SPKC16a
313.79765,306.757075,307.256,304.148875,311.703225,307.14225,304.490625,308.5563,308.454275
313.826975,306.80485,307.30895,304.166,311.734775,307.185375,304.527625,308.567425,308.4844
313.8858,306.847275,307.33205,304.1853,311.7553,307.204325,304.5627,308.5877,308.489975
314.0119,306.8706,307.408625,304.220175,311.776225,307.24235,304.5989,308.634025,308.516475
314.0747,306.887825,307.432475,304.235975,311.851075,307.260425,304.627575,308.686125,308.534725
314.257,306.9107,307.4634,304.2542,311.872725,307.2972,304.6506,308.71295,308.547325
314.489475,306.92495,307.4939,304.27825,311.969425,307.323575,304.67015,308.7449,308.5555
314.5295,306.946975,307.533125,304.295575,311.99215,307.346025,304.6865,308.795775,308.56845
315.1734,306.9603,307.56605,304.315425,312.037275,307.379,304.699325,308.851225,308.587675
315.4018,306.981675,307.6112,304.3358,312.05575,307.398775,304.71395,308.882875,308.6165
316.037325,306.99915,307.640325,304.36755,312.0851,307.443675,304.733125,308.933475,308.634
316.31305,307.019925,307.67095,304.383325,312.152825,307.600225,304.763425,308.9529,308.664025
316.38895,307.053325,307.698675,304.398,312.16825,307.655625,304.79095,308.965725,308.68615
316.702675,307.087525,307.72615,304.418,312.1738,307.694725,304.820275,308.9713,308.706575
316.7417,307.113925,307.742875,304.434875,312.1953,307.71295,304.840475,309.05455,308.71295
316.786675,307.130175,307.786775,304.44515,312.21635,307.735625,304.85905,309.064025,308.7362
316.833375,307.1495,307.80555,304.470525,312.26035,307.758325,304.879925,309.072575,308.744875
316.890425,307.1736,307.829325,304.49345,312.282625,307.80335,304.90205,309.100825,308.7881
317.007725,307.208625,307.888,304.509875,312.3206,307.815825,304.92245,309.110375,308.795775
317.03185,307.226175,307.92285,304.53415,312.366525,307.86855,304.9609,309.1243,308.812175
317.050175,307.24625,307.962925,304.556275,312.387575,307.912575,304.979375,309.137925,308.882875
317.0762,307.251025,308.02745,304.573375,312.40885,307.9288,304.995925,309.163675,308.933475
317.13295,307.272375,308.070375,304.59625,312.460575,307.95895,305.015125,309.20275,308.9529
317.208875,307.28385,308.106875,304.62355,312.489275,307.982275,305.03505,309.270825,308.9622
317.275775,307.303125,308.14825,304.6464,312.513125,307.99385,305.050625,309.349925,308.965725
317.375525,307.326425,308.1725,304.667825,312.535525,308.028025,305.071825,309.35345,308.9713
317.749425,307.35735,308.200175,304.683575,312.618375,308.0376,305.0881,309.36885,309.0207
317.7813,307.3808,308.2152,304.698375,312.6349,308.15285,305.108375,309.3996,309.02675
