SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC01c,SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC16a
4.440675,8.716475,16.890275,25.943375,7.6138,6.47335,12.92275,19.081325,39.661525
4.45965,8.7379,17.190725,25.962325,7.62775,6.4982,12.975775,19.12285,39.7027
4.488825,8.86125,17.2292,26.092325,7.640625,6.534375,13.0333,19.14105,39.790575
4.495775,8.88555,17.265325,26.13495,7.65555,6.552875,13.053875,19.18615,39.834775
4.507075,8.95725,17.2983,26.461525,7.681725,6.601125,13.098225,19.247175,39.962125
4.511525,8.984675,17.51215,26.59135,7.7332,6.633025,13.14895,19.47965,40.214375
4.559575,9.037975,17.560375,26.645625,7.751875,6.66225,13.192725,19.511275,40.2763
4.57045,9.0624,17.618775,26.67105,7.8678,6.701875,13.27425,19.5539,40.3846
4.5806,9.090175,17.636025,26.756825,7.892825,6.722375,13.304875,19.575675,40.582025
4.593,9.11485,17.64845,26.8014,7.911625,6.737575,13.345725,19.6606,41.40215
4.601425,9.133875,17.680075,27.137875,7.936975,6.765525,13.4245,19.693325,41.8333
4.6081,9.168475,17.726825,27.285875,7.9595,6.80215,13.45585,19.740025,42.1104
4.6141,9.215475,17.92755,27.34575,8.0147,6.838325,13.498075,19.7791,42.205475
4.639425,9.255625,17.933725,27.363575,8.0314,6.87055,13.57625,19.824525,42.4448
4.647425,9.27995,17.981875,27.37745,8.087275,6.921,13.661125,19.8921,42.64665
4.66805,9.32635,18.39905,27.391425,8.0952,6.932475,13.700025,19.939475,42.6907
4.688,9.3577,18.403275,27.411625,8.105625,6.95895,13.780675,19.975725,42.755775
4.700175,9.3912,18.42015,27.4392,8.1149,6.982575,13.827775,20.013,42.775475
4.716275,9.4228,18.46715,27.45495,8.16725,7.045175,13.857825,20.037425,43.002225
4.727475,9.4442,19.004,27.561725,8.188675,7.069025,13.975275,20.0626,43.08145
4.766425,9.4628,19.158975,27.62745,8.2003,7.0866,13.990475,20.098975,43.29795
4.7835,9.48135,19.23395,27.830975,8.247125,7.10195,14.062725,20.124,43.47195
4.821775,9.50105,19.257325,28.24,8.2673,7.113425,14.08225,20.15875,43.539925
4.833175,9.5168,19.285675,28.56535,8.29625,7.129125,14.126925,20.184825,43.650675
4.8425,9.527825,19.349825,28.70005,8.315325,7.145525,14.207,20.224775,43.993925
4.87615,9.564075,19.369625,28.723425,8.334525,7.165775,14.296525,20.26155,44.160775
4.9049,9.582275,19.576875,28.905575,8.36475,7.18295,14.31835,20.3027,44.3795
4.937025,9.688825,19.598925,29.419425,8.37785,7.211475,14.355475,20.327925,44.599275
4.974675,9.707225,19.6055,29.433325,8.42805,7.2369,14.362,20.36195,44.6869
4.990225,9.806425,19.6099,29.52455,8.431875,7.2699,14.3697,20.385425,44.6994
5.0075,9.844075,19.6178,29.677875,8.469975,7.3125,14.427375,20.450325,44.74105
5.026325,9.882025,19.62965,29.85015,8.516925,7.34325,14.46695,20.47295,44.97435
5.0319,9.908425,19.7674,30.138275,8.545725,7.368575,14.47565,20.5098,45.08825
5.05005,9.9226,19.794025,30.16505,8.5822,7.3869,14.51435,20.5351,45.3089
5.068075,9.945425,20.13295,30.2241,8.62095,7.402975,14.521,20.56725,45.440825
5.077925,9.97435,20.165625,30.34285,8.6389,7.42575,14.55465,20.5965,45.581125
5.091125,9.998775,20.33255,30.8123,8.650925,7.446025,14.6642,20.652275,46.342475
5.09795,10.033675,20.374975,30.89505,8.716975,7.4682,14.7375,20.679775,47.1957
5.10735,10.057225,20.51385,30.905675,8.787375,7.4819,14.8154,20.710275,47.69905
5.13155,10.07085,20.614525,31.170625,8.81555,7.503625,14.8707,20.73355,47.771275
5.135075,10.14045,21.431575,31.48495,8.84985,7.5232,14.944075,20.750425,47.826925
5.149325,10.16945,21.4818,31.5246,8.893375,7.5441,15.003825,20.780875,48.41415
5.170925,10.277025,21.647825,31.761775,8.942975,7.568775,15.0099,20.813,48.809625
5.19785,10.3303,21.855525,31.929475,8.99,7.58535,15.0707,20.839825,48.843125
5.20425,10.39915,21.928025,32.328775,9.03345,7.635075,15.10895,20.8641,49.30215
5.2285,10.427,22.11385,32.3546,9.060225,7.659,15.18955,20.887975,49.50115
5.270975,10.44295,22.26615,32.415225,9.323525,7.707,15.327725,20.92955,49.564825
5.305925,10.4941,22.3184,32.465,9.36885,7.772775,15.33895,20.95665,49.699375
5.3077,10.528225,22.332125,32.62085,9.487625,7.795425,15.388975,20.981525,49.97035
5.347325,10.564875,22.38645,32.735225,9.50615,7.8184,15.48925,21.006025,50.7337
5.379875,10.589325,22.700825,32.7764,9.528225,7.84365,15.522875,21.0377,50.77545
5.41085,10.615625,22.801225,32.9322,9.54055,7.8715,15.76215,21.058925,50.903
5.435075,10.632675,23.15015,33.1922,9.5935,7.899675,15.8375,21.0912,51.1446
5.447,10.652625,23.2308,33.548425,9.607325,7.926525,15.844475,21.1185,51.1963
5.45975,10.7022,23.3989,33.62935,9.619625,7.948175,15.90575,21.1429,51.5213
5.4704,10.731975,23.432,33.71065,9.659825,7.9801,15.971875,21.179625,51.71685
5.47955,10.834875,23.592025,33.774475,9.689175,8.007975,16.03325,21.22255,51.739025
5.50355,10.8738,23.621575,33.803575,9.718575,8.03465,16.059975,21.28805,51.822575
5.512575,10.892625,23.6662,33.846925,9.7473,8.07145,16.07675,21.316225,51.861975
5.52005,10.95895,23.7373,33.87565,9.784175,8.12035,16.082175,21.354925,52.327225
5.52335,10.98775,23.808875,34.024875,9.836775,8.126475,16.15115,21.3803,52.810375
5.536775,11.00425,23.906725,34.060175,9.85585,8.15675,16.20755,21.41505,52.892225
5.572875,11.013475,24.2349,34.137725,9.90895,8.166225,16.267875,21.45595,53.132025
5.5766,11.018925,24.634675,34.237775,9.978575,8.1953,16.277425,21.494675,53.241675
5.582425,11.028825,24.880225,34.31555,9.997225,8.22405,16.348875,21.523275,53.694875
5.597675,11.090725,25.094425,34.3943,10.0156,8.2521,16.4059,21.543975,53.7582
5.61165,11.12075,25.61535,34.56585,10.03175,8.267975,16.465,21.579425,53.896725
5.631425,11.1612,25.8186,34.621525,10.07355,8.2727,16.5281,21.604475,54.02595
5.63305,11.206675,26.290075,34.648775,10.15925,8.294075,16.562425,21.632175,54.476275
5.647225,11.2241,26.41295,34.8999,10.19385,8.3169,16.600675,21.6643,54.54595
5.6539,11.277675,26.546025,34.9216,10.227925,8.3357,16.6373,21.7102,54.680475
5.658775,11.315025,26.7565,34.983175,10.279975,8.3576,16.6745,21.7799,55.0805
5.69475,11.37195,27.1856,35.06845,10.338875,8.379425,16.707175,21.8244,55.29465
5.697575,11.3978,27.395225,35.095275,10.358575,8.395625,16.7426,21.881425,55.61605
5.723525,11.43405,27.4666,35.11965,10.38255,8.472925,16.7768,21.9228,55.9999
5.7471,11.4769,27.523375,35.21435,10.42075,8.517425,16.78905,21.950475,56.11305
5.76405,11.51295,27.553025,35.5262,10.432275,8.55515,16.801225,21.97265,56.165925
5.78955,11.58355,27.6285,35.629275,10.448675,8.590125,16.8273,21.996875,56.250125
