SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a,SPK_SPKC10b
49.537525,15.0391,31.03305,152.336375,14.957275,14.780425,37.91925,4.73015
49.859775,15.148325,31.04505,155.795325,14.96525,14.857175,38.1349,4.74695
50.002475,15.20805,31.961275,158.4749,15.06055,14.9563,38.323975,4.7653
50.0138,15.264975,32.021425,160.236125,15.134425,15.027,38.67345,4.8003
50.0467,15.27915,32.061525,163.372675,15.15755,15.09125,39.04085,4.82395
50.174325,15.342425,32.112975,169.37995,15.250525,15.099175,39.243575,4.841425
50.827275,15.52885,32.35665,179.4374,15.252425,15.13685,39.361525,4.864525
51.33975,15.56315,32.816775,182.369025,15.27585,15.261275,39.5134,4.882675
51.96285,15.59045,32.852675,183.84755,15.629225,15.365075,39.666225,4.894425
52.5573,16.00285,32.874825,184.0419,15.639525,15.55295,39.8838,4.899675
52.8441,16.061,33.070875,184.20615,15.67485,15.601725,39.892275,4.9026
53.2451,16.100625,33.154225,185.116675,15.6922,15.6177,40.4427,4.9235
53.550325,16.188525,33.180975,185.42785,15.695225,15.63535,40.485575,4.9446
53.557525,16.2849,33.238425,193.034275,15.7243,15.686525,40.4869,4.972625
54.463725,16.471675,33.3521,193.550425,15.783175,15.750375,40.6992,5.0032
54.67885,16.7452,33.385825,194.633475,15.9174,15.892475,40.747125,5.004525
54.818925,17.0607,33.530525,197.236125,16.02285,15.938025,41.301325,5.04045
55.05615,17.0791,33.6219,197.6697,16.28715,15.952875,41.3993,5.05145
55.700225,17.1298,33.668125,199.099725,16.2968,16.014725,41.401675,5.0788
55.814525,17.178225,33.708125,199.32295,16.363625,16.041575,41.4155,5.08645
56.17035,17.18825,33.7437,,16.393625,16.11485,41.54795,5.11425
56.4123,17.207825,33.8737,,16.57865,16.162875,41.623175,5.1317
56.5928,17.24795,34.2249,,16.649025,16.285275,42.181,5.160975
57.110175,17.278075,34.24355,,16.674225,16.329,42.3144,5.163025
57.231525,17.3248,34.251925,,16.695425,16.399375,43.35965,5.199775
57.328075,17.5284,34.3484,,16.7069,16.407525,43.36965,5.26945
57.4582,17.57725,35.144425,,16.762075,16.458125,43.594025,5.3164
57.48905,17.63315,35.274175,,16.783725,16.5364,43.595225,5.331575
57.56995,17.645875,35.378525,,16.78735,16.617075,43.7516,5.39665
57.61035,17.71055,35.408575,,16.814625,16.667375,44.225775,5.4619
57.83565,17.71555,35.44595,,16.84115,16.716775,44.30725,5.53625
57.86135,17.72925,35.57145,,16.86305,16.77335,44.331625,5.5391
57.874675,17.7363,35.669225,,16.907025,16.8526,44.3574,5.575325
57.94375,17.744275,35.7434,,17.12095,16.911025,44.570975,5.6079
57.95395,17.763425,35.87245,,17.3398,16.969475,44.670025,5.696925
58.15975,17.783525,35.924775,,17.41395,17.046275,45.08295,5.7257
58.2964,17.824425,35.988025,,17.4356,17.15215,45.097575,5.7354
58.3867,17.850375,36.004575,,17.481625,17.180775,45.19875,5.77805
59.0361,17.851775,36.0438,,17.7305,17.320375,45.7595,5.79855
59.211125,17.86025,36.06075,,17.734525,17.3774,45.870025,5.81465
59.286875,17.888325,36.91165,,17.8911,17.402375,46.265175,5.866775
59.299,18.361525,36.98245,,18.005925,17.451175,46.26645,5.87195
59.3306,18.444625,37.030675,,18.012575,17.5928,46.812575,5.893975
59.635575,18.574925,37.0595,,18.06075,17.63955,46.93145,5.896175
59.98125,18.741275,37.098125,,18.118275,17.7135,47.02475,5.9473
