SPK_SPKC09a,SPK_SPKC09c,SPK_SPKC10a,SPK_SPKC12a
630.5363,673.3413,633.41325,660.33925
630.5653,673.4512,633.489575,660.406625
630.681225,673.663175,633.5578,660.44595
630.698525,673.6849,633.6292,660.7564
630.72145,673.7362,633.66185,660.78025
630.73845,673.767275,633.718275,660.928725
630.7588,673.871675,633.8174,660.958975
630.7771,673.9024,633.8245,661.039725
630.787075,674.04645,633.8547,661.05935
630.8073,674.20825,633.867175,661.113675
630.819725,674.26735,633.896725,661.132075
630.8232,674.2761,633.90825,661.233
631.123025,674.30675,633.94155,661.29005
631.137575,674.452525,634.014825,661.36375
631.1464,674.5077,634.122925,661.37485
631.20915,674.83545,634.31295,661.4939
631.2188,674.91915,634.354925,661.5706
631.2349,674.929825,634.4965,661.613925
631.263425,674.949675,634.51915,661.73945
631.277375,675.10095,634.5347,661.757775
631.305175,675.459475,634.6085,661.782025
631.32305,675.50225,634.6136,661.926775
631.459225,675.855325,634.655625,662.01445
631.4629,675.8629,634.7444,662.0431
631.4665,675.947025,634.82655,662.12335
631.477825,676.03895,634.95355,662.3322
631.48125,676.230625,634.969425,662.411175
631.5425,676.2774,634.993625,662.458
631.59925,676.328325,635.02165,662.645075
631.622475,676.38445,635.026325,662.7475
631.628975,676.4128,635.038675,662.842325
631.644525,676.50955,635.104825,662.8588
631.737525,676.62965,635.174875,662.9502
631.74085,676.761125,635.188925,663.0173
631.75255,676.802025,635.20265,663.10655
631.759525,676.806725,635.2046,663.230825
631.898975,676.828025,635.2397,663.2838
631.96145,676.836975,635.3425,663.313325
632.0637,676.9691,635.36855,663.332925
632.0715,677.231025,635.4189,663.366475
632.104075,677.242625,635.47195,663.495875
632.3223,677.252125,635.59075,663.557925
632.380725,677.254,635.7273,663.5739
632.390725,677.73975,635.75175,663.614625
632.462575,677.798125,635.8062,663.650275
632.66825,677.9058,635.83005,663.76885
632.690725,677.90835,635.847825,663.850175
632.7019,677.913925,635.859025,663.917725
632.718825,678.001475,635.87455,663.963075
632.72525,678.29015,635.923525,663.9674
632.768725,678.311525,635.9829,663.994675
632.927025,678.587325,636.053275,664.0667
632.931975,678.61665,636.1278,664.08135
632.9446,678.64595,636.129325,664.28885
632.96875,678.7481,636.173075,664.358125
632.996975,678.827275,636.23875,664.452575
633.019375,678.855475,636.24795,664.530875
633.02685,678.934575,636.255975,664.549225
