SPK_SPKC05a (inhi),SPK_SPKC09b (exc),SPK_SPKC09c (inhi)
420.33225,439.8092,420.019525
420.36135,439.852225,420.0362
420.3781,439.930025,420.0661
420.397525,439.94115,420.095775
420.420875,439.998,420.1635
420.4428,440.026125,420.20825
420.4657,440.090075,420.242425
420.489975,440.124725,420.2889
420.531025,440.1661,420.338425
420.563925,440.170125,420.383
420.591675,440.205575,420.44185
420.632925,440.2722,420.469475
420.657925,440.301975,420.5
420.702225,440.345025,420.51865
420.73285,440.401675,420.553175
420.7539,440.424975,420.574975
420.7701,440.500175,420.597925
420.786225,440.548175,420.6299
420.8099,440.5506,420.668775
420.830725,440.6347,420.6952
420.85605,440.73045,420.722975
420.872225,440.7554,420.741375
420.897875,440.768225,420.764325
420.937925,440.84595,420.78325
420.961575,440.881125,420.79875
420.98155,440.995925,420.81495
421.011,441.015325,420.8352
421.0414,441.0338,420.8533
421.06725,441.096675,420.874175
421.0885,441.150425,420.903575
421.116525,441.1893,420.929625
421.147775,441.25425,420.9656
421.167075,441.3013,420.97235
421.198575,441.3978,420.989625
421.23285,441.4519,421.00825
421.25335,441.552675,421.025125
421.304325,441.5954,421.04905
421.3584,441.7332,421.068625
421.389075,441.76115,421.11335
421.414175,441.8093,421.14225
421.448775,441.8738,421.1612
421.492075,441.894325,421.183925
421.533,441.915075,421.204875
421.557325,441.981925,421.2308
421.571125,442.07325,421.258775
421.602875,442.0982,421.277825
421.62525,442.180325,421.3052
421.6553,442.220375,421.372525
421.690225,442.2626,421.39685
421.7246,442.335925,421.42945
421.75305,442.451625,421.47395
421.774275,442.504575,421.49755
421.802,442.5457,421.512725
421.81645,442.5833,421.5423
421.846125,442.673575,421.586275
421.85955,442.79165,421.642025
421.901325,442.87335,421.66385
421.9481,442.9183,421.69985
421.977025,442.957175,421.7104
422.00485,443.02425,421.72375
422.056825,443.044175,421.78385
422.0868,443.16175,421.81805
422.121325,443.184875,421.8427
422.1437,443.337325,421.8852
422.158675,443.386775,421.926825
422.17155,443.45565,421.961575
