SPK_SPKC10a (excited),SPK_SPKC12a (NA),SPK_SPKC13a (NA),SPK_SPKC14a (no effect),SPK_SPKC16a (NA)
134.4122,15.855375,,186.744,115.673175
134.605,15.932175,,187.837,115.8716
135.373475,15.960075,,187.99945,115.998825
135.4924,16.0161,,188.1004,116.264625
135.50645,16.031975,,188.1947,116.4015
135.681,16.0762,,188.2541,116.466975
135.88605,16.0865,,188.27085,116.4927
135.89615,16.100875,,188.2987,116.5563
136.0947,16.10415,,188.312425,116.573575
136.3683,16.13535,,188.332,116.642175
136.47185,16.1604,,188.3511,116.66095
136.976475,16.169025,,188.382375,116.8076
137.02435,16.180775,,188.478375,117.2155
137.1816,16.22565,,188.4886,117.2871
137.224175,16.265475,,188.5837,117.310325
137.2821,16.307,,188.59855,117.63335
138.40795,16.325175,,188.65505,117.9284
139.109675,16.33725,,188.698925,118.112925
139.644725,16.384775,,188.71475,118.63485
139.822425,16.40625,,188.995525,118.99695
140.650725,16.43355,,189.0782,119.07145
140.715475,16.46145,,189.1556,119.113925
140.77835,16.539275,,189.245075,119.4393
141.159325,16.55425,,189.294175,119.4786
141.227125,16.60435,,189.385775,119.6072
141.54125,16.61465,,189.438575,119.9338
142.1595,16.6339,,189.541825,120.02655
142.45755,16.668025,,189.563,120.07645
142.511575,16.687375,,189.66845,120.3063
143.16025,16.725275,,189.69155,120.40385
143.521675,16.7339,,189.72355,120.571125
143.593725,16.809675,,189.789225,120.598325
144.125175,16.949325,,189.813775,120.864225
144.417225,17.01535,,189.913525,120.92515
144.5099,17.0315,,190.00975,120.989575
144.693675,17.043975,,190.48005,121.035275
144.831625,17.0566,,190.594375,121.072
145.4049,17.0829,,190.621775,121.108475
145.663425,17.1156,,190.66595,121.3152
145.7713,17.12545,,190.851825,121.92815
146.118225,17.16035,,190.97765,122.001075
146.66475,17.1914,,191.09115,122.40825
146.728975,17.2002,,191.115,122.462
146.892725,17.224875,,191.395775,122.516975
147.02245,17.237975,,191.50885,122.623625
147.129475,17.28565,,191.709325,122.674325
147.233475,17.2956,,191.746725,122.7364
147.84045,17.31,,191.79245,122.8238
147.872025,17.3799,,191.8306,122.892625
147.9123,17.400725,,192.3731,123.024225
148.694175,17.453675,,192.813425,123.085525
148.828975,17.5649,,192.88985,123.168525
149.168875,17.5753,,192.926925,123.308475
149.2096,17.586925,,192.9839,123.3341
150.566025,17.608225,,193.051825,123.451275
150.669425,17.616375,,193.371675,123.6249
151.055525,17.6239,,194.31415,123.65205
151.39135,17.639725,,194.654975,123.678
153.9088,17.68505,,195.5162,123.919225
153.999675,17.6965,,197.330975,123.965525
154.485,17.7085,,198.36555,124.03795
154.979775,17.73495,,198.5628,124.16585
154.9857,17.7456,,198.565575,124.54815
155.7816,17.758275,,198.575825,124.668575
156.28995,17.78975,,198.57935,124.69805
156.316475,17.79075,,198.59915,124.937875
156.33585,17.81265,,198.617525,125.072625
156.4486,17.82935,,198.73305,125.175175
156.750325,17.864425,,198.892525,125.202625
157.0734,17.88145,,198.9301,125.26695
157.650925,17.930775,,198.952875,125.334425
157.748675,17.9525,,198.96835,125.465375
158.276175,17.97285,,198.99835,125.58605
158.72915,18.09985,,199.005425,125.769075
158.7971,18.131775,,199.015025,125.878925
158.816075,18.15095,,199.074175,125.944725
158.81825,18.1651,,199.14305,126.1104
159.3893,18.1708,,199.545125,126.46865
159.42235,18.173025,,199.597575,126.667325
160.306025,18.180575,,199.62785,126.72335
160.34725,18.212625,,199.8602,126.8396
160.7763,18.222825,,200.252725,127.184975
160.91165,18.23115,,200.327975,127.246025
162.783225,18.2683,,200.4236,127.34035
163.2291,18.270875,,200.453175,127.4769
164.608375,18.32015,,200.473775,127.572275
165.16755,18.39615,,200.486325,127.816025
165.179875,18.41245,,200.4998,127.87815
165.299475,18.423625,,200.51335,128.301425
165.584925,18.434075,,200.5287,128.6186
165.6536,18.4497,,200.54505,128.709725
166.177725,18.462975,,200.573875,128.969125
166.2825,18.4788,,200.619525,129.052175
166.322525,18.541925,,200.66715,129.111425
166.4399,18.578475,,200.699725,129.24025
166.827825,18.6296,,200.756475,129.359875
166.8894,18.661175,,200.7704,129.52425
167.37295,18.663275,,200.7988,129.812225
167.682475,18.68,,200.8754,129.8442
167.730175,18.77555,,200.9519,129.896425
167.751275,18.819025,,200.965675,129.99495
167.859125,18.874925,,201.029975,130.01545
169.0464,18.890575,,201.04105,130.257575
169.127175,18.929975,,201.073175,130.299175
169.17935,19.036675,,201.13005,130.322775
169.32935,19.15945,,201.189375,130.36735
169.5752,19.29285,,201.23345,130.81415
169.717525,19.294625,,201.260825,130.85545
170.058425,19.3154,,201.276625,131.016075
170.2535,19.33025,,201.2886,131.0348
170.52435,19.3767,,201.30175,131.088275
170.572175,19.395625,,201.316625,131.162825
170.67425,19.41185,,201.329375,131.233325
170.7177,19.42825,,201.34325,131.469975
170.9629,19.455375,,201.36975,131.8101
170.9879,19.519475,,201.381125,131.872025
171.04955,19.53635,,201.3975,132.08635
171.5243,19.547025,,201.411575,132.7362
171.549975,19.5688,,201.4365,133.0415
171.59155,19.6348,,201.5123,133.083625
172.51535,19.658425,,201.538125,133.1676
172.5786,19.752225,,201.84995,133.468675
172.994525,19.8066,,201.858675,134.0563
173.138575,19.82315,,201.8982,134.1348
173.192075,19.829725,,201.923925,134.15895
173.48105,19.844925,,202.102125,134.504475
173.595125,19.851375,,202.13805,135.216675
173.879875,19.8592,,202.1815,135.310675
173.970975,19.973425,,202.1977,135.467425
174.191975,19.99325,,202.2102,135.7026
174.3501,20.008275,,203.477225,135.792825
174.404975,20.0273,,203.577725,135.83555
174.858075,20.052575,,203.687875,135.862075
175.0307,20.103275,,203.746775,136.5615
175.40255,20.2023,,203.944675,136.618
175.496,20.23375,,204.332625,136.843525
175.771875,20.34765,,204.338525,136.86225
176.34745,20.439525,,204.36475,137.298175
177.112175,20.472275,,204.378025,137.362375
177.495,20.4853,,205.700475,137.412975
177.52645,20.494075,,206.03855,137.506025
177.605325,20.502025,,206.109575,137.71305
177.721525,20.5135,,206.161175,137.999425
178.336925,20.515875,,206.260625,138.11675
178.869275,20.5338,,207.33255,138.125925
179.115875,20.546425,,207.3503,138.1879
180.3058,20.5536,,207.3601,139.243225
181.31625,20.557675,,207.37725,139.3688
182.302625,20.622375,,207.39285,139.5098
182.507725,20.624825,,207.407575,142.2505
183.102525,20.637075,,207.435275,142.697075
185.272475,20.66035,,207.84555,144.329125
186.17945,20.6949,,207.891575,144.349125
186.35295,20.709025,,207.941925,149.61165
186.3784,20.72275,,207.96075,149.872425
186.507575,20.893325,,208.02155,151.086
187.17615,20.908475,,208.494,151.316575
187.6558,20.9277,,208.517875,156.5251
188.613875,20.938375,,208.61095,156.59405
188.75835,20.951975,,208.660975,156.6602
188.88355,20.969475,,208.683025,156.75175
188.9174,21.003125,,208.696,156.77615
190.2831,21.032325,,208.708975,156.8047
191.2055,21.052275,,208.720825,156.83215
192.62095,21.078475,,208.73515,156.846375
193.43795,21.11515,,208.778075,157.18985
196.73585,21.150575,,208.7899,157.220875
197.05375,21.182425,,208.803,159.4054
198.0953,21.23615,,208.8249,159.432725
199.15895,21.273325,,208.8352,159.833675
199.21895,21.300325,,208.846325,159.87155
199.351225,21.314475,,208.95715,160.03335
199.9765,21.3324,,208.96835,160.11705
201.15445,21.3659,,209.001875,160.385275
201.33135,21.529325,,209.026825,160.598225
201.56745,21.65335,,209.03955,160.785125
