SPK_SPKC03a (weak inhi),SPK_SPKC08a (exc),SPK_SPKC09a (no response),SPK_SPKC10b (weak inhi),SPK_SPKC11a (no response)
260.7077,275.03295,257.9428,265.61865,257.78995
260.72865,275.2268,257.9589,265.6257,257.818125
260.745925,275.24475,258.009575,265.653425,257.84175
260.762475,275.631375,258.029825,265.7098,257.857075
260.78425,275.8355,258.12935,265.728925,257.8794
260.8141,275.8504,258.143825,265.731525,257.911575
260.8705,275.855975,258.167,265.765025,257.939025
260.90815,275.8678,258.1818,265.8002,257.965275
260.925425,275.8799,258.2113,265.911125,257.985675
260.9757,275.924625,258.2456,265.921075,258.00915
261.012175,276.05375,258.321475,265.94455,258.02335
261.0272,276.07625,258.35755,265.956225,258.075525
261.041,276.1034,258.368875,265.988425,258.10285
261.1013,276.485975,258.404025,265.998275,258.137275
261.14085,276.4984,258.4204,266.0411,258.155425
261.178825,276.525275,258.442125,266.129275,258.183675
261.261875,276.536425,258.457825,266.172725,258.20425
261.284775,276.538925,258.48535,266.192975,258.224775
261.306225,276.644,258.498875,266.270175,258.2612
261.326625,276.729025,258.520275,266.308325,258.28655
261.38825,276.804675,258.546175,266.373575,258.341475
261.405575,277.20915,258.625575,266.384125,258.392725
261.423725,277.237375,258.635425,266.484225,258.43825
261.44185,277.275125,258.663625,266.566025,258.455125
261.472925,277.4107,258.6769,266.60725,258.508125
261.492575,277.41555,258.70455,266.774,258.530375
261.567575,277.4228,258.7366,266.819575,258.5534
261.59065,277.4699,258.751075,266.933825,258.5788
261.6261,277.493425,258.78005,266.937225,258.60405
261.643275,277.53655,258.80475,266.972675,258.62875
261.66695,277.85105,258.8645,266.994025,258.656975
261.688125,277.870775,258.8882,267.0427,258.6816
261.7124,277.8846,258.92895,267.14145,258.6991
261.740175,278.01035,258.96575,267.3395,258.7533
261.7537,278.036775,258.978875,267.367875,258.762775
261.784625,278.099425,259.01895,267.47615,258.7826
261.80355,278.504125,259.031875,267.50155,258.8075
261.84405,278.508075,259.042175,267.505525,258.83005
261.874225,278.515025,259.070425,267.59805,258.84665
262.043775,278.92175,259.110425,267.64765,258.8724
262.111975,279.04165,259.134325,267.71275,258.896125
262.1388,279.38705,259.154125,267.753125,258.957
262.233825,279.8772,259.2338,267.7963,258.982975
262.28005,279.8813,259.263825,267.853825,259.042275
262.298525,279.885525,259.300075,267.9276,259.0611
