SPK_SPKC02a (NA),SPK_SPKC07a (inhibited),SPK_SPKC13a (inhibited)
118.6697,30.549525,258.627525
118.72015,30.57385,258.855075
118.735425,30.617675,259.189625
118.7638,30.641575,259.28055
118.884375,30.68485,259.466075
118.9897,30.726125,259.8481
119.20005,30.73975,260.76935
119.31935,30.87155,261.7218
119.323125,30.89115,261.905875
119.5862,30.92965,261.92805
119.618375,30.9524,262.81975
119.87225,30.965375,263.405575
119.92185,30.97515,263.934675
120.18005,31.026825,264.984475
120.321525,31.05975,265.692425
120.328275,31.0801,265.91185
120.511925,31.122825,265.957325
120.85435,31.15055,266.006425
120.8775,31.182325,266.436575
121.088125,31.223975,266.52255
121.119,31.261725,266.741625
121.28085,31.291925,267.058925
121.28275,31.324175,267.7232
121.55925,31.354125,268.020975
121.823,31.387625,268.297075
123.321175,31.42585,268.50085
123.34805,31.447075,268.667425
123.4028,31.474725,268.873725
123.710725,31.507525,269.2099
123.938075,31.561775,269.216025
124.042175,31.61135,269.3341
124.21745,31.6634,269.35765
124.346375,31.700025,269.827675
124.37175,31.722075,269.9571
124.6052,31.745775,269.995425
124.94105,31.76535,270.807575
124.95135,31.81485,270.8128
125.252625,31.840025,270.8256
125.273225,31.852425,270.9244
125.3465,31.882225,271.11525
125.529925,31.90175,271.15535
125.595025,31.993375,271.683075
125.6241,32.0657,271.760475
125.6701,32.119725,272.0433
125.881275,32.1709,272.06125
125.9427,32.228375,272.463175
126.0361,32.27615,272.50955
126.06205,32.303725,272.7059
126.0754,32.317075,272.8927
126.1293,32.365275,273.3269
126.18845,32.383425,273.407575
126.227575,32.42445,274.0808
126.280825,32.46255,274.44715
126.39945,32.471775,274.575475
126.44045,32.48775,274.6299
126.459875,32.6289,275.1347
126.491475,32.647225,275.39475
126.57155,32.678875,275.547975
126.611975,32.708025,275.7212
126.686075,32.7459,276.0628
126.760375,32.8092,276.3354
126.78825,32.95135,276.45155
126.8482,32.96275,276.66655
126.9093,33.004125,276.767625
127.2375,33.0437,277.386625
127.2595,33.198025,277.657375
127.2708,33.2462,278.41085
127.29905,33.279375,278.577225
127.345,33.4088,278.77015
127.433925,33.4351,279.2958
127.4511,33.55695,279.731225
127.471075,33.62515,280.3941
127.57155,33.6538,280.64535
127.575025,33.679025,280.91725
127.68725,33.761625,281.016075
127.7368,33.78905,281.5143
127.7614,33.831775,282.00155
127.80315,33.865375,282.93395
127.80745,33.9484,283.057275
127.8487,33.975925,283.279075
127.96535,34.01935,283.375875
128.00295,34.10155,283.7017
128.006725,34.161425,283.868175
128.198525,34.235025,284.068825
128.236325,34.270175,284.202925
128.34015,34.2928,284.3473
128.344225,34.3579,284.497975
128.43565,34.383925,284.8068
128.744775,34.482825,284.93105
128.76815,34.5611,285.35895
128.8286,34.638275,285.4496
128.860775,34.736525,285.972975
128.896275,34.806325,286.318275
129.068225,34.8574,286.581175
129.097,34.8974,286.8786
129.184125,34.926525,287.247675
129.51565,34.959525,287.870925
129.673425,35.019275,288.1758
129.6814,35.128625,288.322975
130.04975,35.168,288.79375
130.177975,35.20445,288.831325
130.2613,35.2327,289.129075
130.292625,35.283575,289.4303
130.36415,35.311625,289.9942
130.623675,35.36795,290.538575
130.776525,35.459575,290.608725
130.8311,35.511025,290.7246
130.8932,35.5873,291.321
130.915625,35.6605,291.81755
131.045525,35.7204,292.256375
131.192225,35.7752,292.53555
131.24535,35.807925,292.94625
131.2591,35.85225,293.45135
131.366175,35.880925,293.608775
131.4714,35.931075,293.7281
131.6297,35.988125,294.055325
131.7453,36.03365,294.436125
131.84225,36.123475,294.612575
131.8684,36.236175,295.172625
131.87835,36.264875,296.5033
131.903075,36.3032,296.677775
132.11265,36.340725,296.9692
132.330225,36.4431,297.876825
132.380775,36.4824,298.580475
132.464525,36.568875,299.480875
132.489275,36.755275,299.876675
132.642375,36.853175,300.239825
133.131475,36.857025,300.7133
133.271775,36.880875,301.12955
133.309475,36.8961,301.4481
133.537275,36.92265,301.746925
133.8576,36.9613,301.961025
133.975,36.99045,302.479125
134.489375,36.998575,302.966925
134.770975,37.005975,303.509925
135.317375,37.0406,303.664075
135.54995,37.064125,303.918775
136.096025,37.116525,304.05715
136.152025,37.148425,304.241025
137.832875,37.161275,304.3014
138.730375,37.17075,304.8412
138.742525,37.207725,305.4088
138.7636,37.245575,305.6396
138.856725,37.255375,306.137925
139.356225,37.26405,307.7583
139.4341,37.2855,308.115325
139.562825,37.32455,308.72565
139.752725,37.39105,309.8138
139.766825,37.4077,309.9161
139.793125,37.454925,310.68675
139.81525,37.48235,310.840275
139.915975,37.507575,311.088875
139.99655,37.535225,311.307725
140.01535,37.591,311.47545
140.236875,37.670425,311.671225
140.501225,37.702425,311.926275
140.721575,37.728725,312.0364
140.854,37.75075,312.2604
141.30255,37.769725,312.67565
141.337925,37.8049,312.704125
141.366425,37.84125,312.772075
141.5394,37.8828,313.476725
141.790875,37.907125,313.69975
141.833575,37.964775,313.7765
141.841325,37.9859,313.833825
141.844025,38.05065,313.89025
141.871275,38.077275,313.976775
141.903325,38.0846,314.0192
141.927,38.199525,314.024125
141.940075,38.21795,314.043275
142.077575,38.2544,314.080225
142.1044,38.27765,314.1257
142.113575,38.3697,314.155275
142.2091,38.391225,314.17905
142.293275,38.43185,314.214125
142.3405,38.4794,314.220075
142.5417,38.525625,314.2294
142.5722,38.561475,314.238925
143.076925,38.597775,314.278025
143.543,38.687975,314.37525
144.181825,38.7418,314.417625
144.215675,38.7775,314.55065
144.234925,38.802,314.570675
144.516575,38.834425,314.5831
144.5268,38.864275,314.629075
144.836275,38.887575,314.652675
144.8407,38.9594,314.701475
144.9096,39.14305,314.722
144.948275,39.1751,314.72635
145.01585,39.2542,314.763175
145.057675,39.372725,314.803125
145.066575,39.423425,314.84195
145.0839,39.460575,314.87955
145.1413,39.559075,314.893
145.3615,39.5802,314.98425
145.4801,39.66465,315.018675
145.5915,39.747275,315.05995
145.9799,39.77535,315.1699
146.07685,39.826375,315.263175
146.101375,39.842425,315.40415
146.446875,39.877325,315.408225
146.449325,39.89925,315.469325
146.99195,39.92405,315.515575
147.261675,39.948925,315.548725
147.38945,39.97075,315.567675
147.47375,40.001625,315.5721
147.72925,40.03145,315.74465
147.752125,40.043025,315.882125
147.7792,40.0672,315.936225
147.78355,40.07855,316.054475
147.7874,40.102475,316.11325
148.081875,40.1483,316.225675
148.214675,40.15835,316.269125
