SPK_SPKC04a (inhi),SPK_SPKC06a (inhi),SPK_SPKC09a (late exc),SPK_SPKC10a (exc),SPK_SPKC11a (inhi),SPK_SPKC11b (inhi),SPK_SPKC15a (inhi)
48.6383,44.51715,44.7297,64.99485,46.905925,43.92875,57.546525
48.688825,44.535425,44.75905,65.033925,46.955375,43.94455,57.60005
48.721975,44.547525,44.777275,65.437075,46.99385,43.960425,57.6445
48.741,44.558,44.808575,65.50735,47.01175,43.96905,57.751775
48.7659,44.571325,44.846625,65.86005,47.033025,43.97935,57.81165
48.792325,44.591675,44.8838,65.908475,47.0486,43.985975,57.876875
48.82725,44.598875,44.901,65.95125,47.111825,43.99575,57.933325
48.887125,44.619825,44.927925,65.99015,47.1917,44.008925,57.997975
48.929975,44.626675,44.9414,66.058925,47.2374,44.015125,58.0567
48.976175,44.630725,44.9492,66.0972,47.256425,44.037325,58.108475
49.0013,44.653625,44.957725,66.3506,47.276975,44.046325,58.172325
49.04365,44.667125,45.01375,66.415525,47.29875,44.070575,58.234425
49.107675,44.709025,45.0448,66.447375,47.3085,44.08095,58.294875
49.12365,44.730025,45.0736,66.470725,47.331375,44.095525,58.354625
49.1525,44.747425,45.0992,66.519925,47.347675,44.1,58.4027
49.18555,44.760275,45.11125,66.7794,47.385575,44.1092,58.47015
49.2475,44.771625,45.1371,66.8144,47.4575,44.1178,58.5297
49.27635,44.786775,45.150325,66.9628,47.49315,44.137575,58.646475
49.305875,44.8005,45.1759,67.09035,47.50255,44.1438,58.717425
49.3511,44.8134,45.181075,67.2762,47.51665,44.152525,58.7864
49.395725,44.822675,45.213325,67.315725,47.542475,44.159875,58.906525
49.4683,44.854875,45.24095,67.34035,47.5691,44.17225,58.960525
49.501825,44.8692,45.251825,67.45675,47.629925,44.18395,59.021675
49.54335,44.88185,45.28295,67.507725,47.65275,44.1901,59.080325
49.570575,44.896675,45.2938,67.86355,47.6716,44.204275,59.143175
49.5971,44.911875,45.30755,67.9729,47.72235,44.215975,59.2046
49.629075,44.929825,45.33075,68.02885,47.7286,44.224375,59.266
49.656875,44.94095,45.336975,68.114875,47.744825,44.243825,59.321125
49.67545,44.968,45.3513,68.510275,47.7526,44.267575,59.37865
49.700275,44.982875,45.374875,68.5812,47.82585,44.277025,59.4942
49.72105,44.9976,45.39165,68.9847,47.84995,44.301925,59.5416
49.740475,45.012575,45.460325,69.0354,47.860425,44.317825,59.6491
49.760875,45.025425,45.4905,69.074225,47.8868,44.323875,59.6948
49.78695,45.0386,45.506475,69.110125,47.941075,44.33885,59.79235
49.805375,45.07485,45.517325,69.173275,48.02695,44.3509,59.90745
49.860475,45.1175,45.532875,69.2238,48.03835,44.44115,59.989425
49.885225,45.17465,45.545775,69.605425,48.069425,44.470425,60.13665
49.92075,45.22545,45.55675,69.669025,48.085775,44.48335,60.225125
49.951325,45.2455,45.5671,69.7041,48.147375,44.492975,60.319975
50.019525,45.269725,45.58335,69.7482,48.1676,44.503,60.37065
50.063975,45.28265,45.589025,70.038325,48.193625,44.507675,60.418075
50.102325,45.302475,45.64595,70.068925,48.2158,44.51605,60.468375
50.124625,45.3134,45.67015,70.1207,48.2357,44.525125,60.5275
50.156125,45.332225,45.68825,70.202525,48.27225,44.5343,60.630925
50.178775,45.3476,45.716475,70.5601,48.2823,44.54185,60.6709
50.197725,45.36565,45.74155,70.70525,48.3024,44.554125,60.718625
50.2237,45.377375,45.753025,70.7551,48.36215,44.56115,60.767275
50.253625,45.392075,45.768225,70.8034,48.406725,44.579875,60.8182
50.299775,45.408525,45.79465,70.9664,48.451425,44.584525,60.865975
50.33045,45.418725,45.807425,71.096425,48.4835,44.596175,60.92015
50.3599,45.435825,45.827025,71.16115,48.5038,44.6085,60.9637
50.40605,45.450575,45.862675,71.300525,48.5175,44.61975,61.015275
50.446375,45.465675,45.877325,71.385875,48.528575,44.632125,61.0742
50.488225,45.4879,45.8872,71.565225,48.562775,44.63825,61.13405
50.520475,45.500475,45.896775,71.6116,48.590575,44.644325,61.195675
50.5583,45.51605,45.918525,71.662925,48.611775,44.65735,61.2681
50.592025,45.540875,45.92425,71.691075,48.634275,44.679425,61.32795
50.640025,45.56105,45.932975,71.73295,48.6662,44.694625,61.4509
50.6588,45.58385,45.941,71.739525,48.6834,44.708675,61.516625
50.684425,45.59955,45.9471,71.82515,48.7304,44.720875,61.572425
50.700675,45.622125,45.95405,72.055375,48.7738,44.7303,61.641025
50.722875,45.635325,45.96225,72.119075,48.803575,44.738425,61.687625
50.74575,45.650775,45.97355,72.181325,48.825025,44.75555,61.803025
50.8076,45.667775,45.978575,72.219625,48.8634,44.767675,61.938
50.84335,45.679725,46.004475,72.658425,48.891475,44.78005,61.989525
50.902775,45.688575,46.02405,72.71855,48.900525,44.793175,62.045625
50.976375,45.703775,46.03995,72.757075,48.929275,44.799725,62.113975
51.04375,45.717125,46.06305,72.83405,48.950525,44.806775,62.192125
51.06455,45.729975,46.07845,72.856825,48.972625,44.82115,62.251
51.09175,45.7568,46.096,72.91825,49.0354,44.832075,62.328
51.107925,45.7748,46.108925,73.26065,49.0559,44.83985,62.354475
51.1335,45.791,46.127975,73.447925,49.0717,44.855325,62.38375
51.16125,45.80435,46.143175,73.49995,49.1033,44.870775,62.4178
51.270275,45.832425,46.20495,73.528175,49.120125,44.88205,62.458425
51.344375,45.84695,46.23825,73.5706,49.130925,44.8899,62.500975
51.3808,45.8728,46.2537,73.618825,49.169275,44.90895,62.557475
51.414225,45.907825,46.2586,73.879025,49.194,44.923525,62.62245
51.453425,45.9221,46.267125,73.919875,49.205575,44.939075,62.784725
51.47205,45.943025,46.275975,73.997625,49.236975,44.965325,62.902975
51.49205,45.979825,46.3125,74.0167,49.30365,45.01025,63.0342
51.50665,45.990675,46.31805,74.3886,49.310925,45.020325,63.087075
51.557,46.00255,46.331725,74.444725,49.328325,45.084325,63.1385
51.579275,46.0229,46.340025,74.4845,49.341325,45.0979,63.187625
51.602625,46.039075,46.3471,74.569175,49.363175,45.190225,63.221575
51.6265,46.05235,46.364225,74.74805,49.380025,45.23305,63.252825
51.656475,46.0671,46.370225,74.835,49.434225,45.24895,63.282025
51.69265,46.095625,46.40225,74.91885,49.4627,45.26445,63.34625
51.72725,46.112125,46.4088,74.980925,49.480675,45.273575,63.374325
51.760975,46.12185,46.415975,75.2134,49.515675,45.2913,63.409725
51.87875,46.132675,46.431575,75.3913,49.5429,45.2964,63.44315
51.91375,46.184925,46.437875,75.404625,49.568675,45.30395,63.510525
51.963275,46.19725,46.45135,75.4894,49.580675,45.314125,63.54465
52.022925,46.20815,46.456225,75.660825,49.6059,45.327025,63.5859
