SPK_SPKC06a (excited),SPK_SPKC06b (no effect),SPK_SPKC12a (NA)
20.7971,79.99315,12.585975
20.8057,80.040275,12.60515
20.814625,80.102725,12.6464
20.839525,80.184475,12.6588
20.847875,80.2383,12.672125
20.860825,80.26435,12.682825
20.872625,80.41825,12.710175
20.9004,80.613425,12.723475
20.912375,80.6494,12.736075
20.938,80.6976,12.7478
20.951325,80.7133,12.7572
20.9652,80.765,12.768125
20.97785,80.97255,12.786775
20.995075,80.994325,12.7949
21.003975,81.036475,12.803375
21.011675,81.05735,12.820625
21.0312,81.1568,12.82955
21.0696,81.20655,12.83775
21.085575,81.23175,12.84665
21.092375,81.294525,12.858725
21.109175,81.30795,12.879375
21.1245,81.445,12.8894
21.15295,81.622075,12.897875
21.183125,81.657425,12.906925
21.191725,81.7358,12.9249
21.196075,81.756025,12.933125
21.210375,81.764525,12.965875
21.2332,81.961725,12.977725
21.241125,82.32135,12.99555
21.2486,82.378475,13.00845
21.279225,82.504975,13.01765
21.308425,82.9447,13.0282
21.328525,83.1064,13.039125
21.33865,83.318025,13.051025
21.3466,83.368125,13.06855
21.35505,83.3868,13.080975
21.363225,83.408575,13.0911
21.37585,83.546575,13.11545
21.39305,83.5533,13.12895
21.41785,83.649375,13.13795
21.43,83.6707,13.162125
21.4375,83.81775,13.171425
21.449975,83.91325,13.181425
21.487975,83.927175,13.1876
21.499925,84.06195,13.19475
21.525675,84.332925,13.20615
21.55915,84.39315,13.211325
21.601425,84.433225,13.2181
21.62035,84.6575,13.22125
21.62885,84.820275,13.2255
21.648475,84.894475,13.236025
21.664225,84.931775,13.2407
21.72625,85.092775,13.246375
21.7378,85.171175,13.26185
21.750375,85.335725,13.2692
21.76455,85.472275,13.283
21.77225,85.500225,13.2969
21.79285,85.5236,13.308
21.815425,85.618075,13.318225
21.828225,85.688775,13.32645
21.83855,85.875575,13.33835
21.848875,85.91975,13.353425
21.862525,85.941725,13.3867
21.873125,86.00115,13.410625
21.8825,86.165925,13.419325
21.896925,86.2009,13.44175
21.924825,86.2379,13.451625
21.9368,86.3231,13.471675
21.947925,86.3502,13.484375
21.95855,86.53495,13.4939
21.97455,86.550525,13.533475
22.007325,86.707525,13.561575
22.02025,86.7611,13.585625
22.0356,87.008375,13.608075
22.050375,87.1423,13.638825
22.061475,87.2145,13.66745
22.082625,87.56165,13.695775
22.09105,87.589875,13.70265
22.11465,87.60775,13.711725
22.1283,87.8162,13.718625
22.1474,87.850575,13.726275
22.1544,87.941925,13.7472
22.165175,87.978,13.7561
22.182725,88.302925,13.79965
22.198675,88.50625,13.8203
22.2044,88.53245,13.832775
22.220525,88.534875,13.845775
22.238425,88.74385,13.859125
22.245075,88.7949,13.872125
22.259375,88.8465,13.884975
22.30675,89.021575,13.901925
22.328725,89.13335,13.912375
22.354775,89.336925,13.91575
22.361975,89.3513,13.92945
22.391875,89.433375,13.9579
22.416225,89.463675,13.98815
22.419875,89.553625,14.005575
22.446225,89.56685,14.01725
22.462025,89.611575,14.0299
22.47765,89.6415,14.0332
22.4957,89.6828,14.06075
22.5631,89.72155,14.076625
22.575075,89.8391,14.093325
22.587925,89.96395,14.106825
22.62585,89.9947,14.133
22.6483,90.01825,14.1682
22.698825,90.11795,14.169225
22.710725,90.13355,14.180275
22.73675,90.172475,14.196525
22.742325,90.211225,14.208675
22.7994,90.30755,14.24275
22.81685,90.390325,14.260575
22.82645,90.442575,14.280175
22.83015,90.5341,14.296275
22.858225,90.612875,14.3108
22.87875,90.613925,14.3256
22.88665,90.630725,14.339425
22.901425,90.702025,14.35615
22.918125,90.859475,14.368975
22.931375,90.944575,14.38175
22.94605,91.1459,14.397375
23.043525,91.1746,14.40305
23.04965,91.2822,14.410875
23.094575,91.35185,14.422125
23.11405,91.642225,14.4318
23.121025,91.737225,14.443875
23.153825,91.823675,14.463225
23.1592,91.8586,14.52815
23.1743,91.879125,14.542925
23.179625,91.97865,14.56595
23.233425,92.0747,14.58935
23.27185,92.0984,14.607475
23.3058,92.152175,14.618775
23.353075,92.1693,14.632575
23.359375,92.19565,14.6729
23.3878,92.2036,14.6904
23.405,92.215975,14.70585
23.4397,92.39505,14.724175
23.522475,92.427,14.739375
23.597475,92.465175,14.75955
23.61325,92.51645,14.784025
23.655525,92.524875,14.809375
23.684325,92.664575,14.84605
23.700625,92.758075,14.87605
23.708875,92.78555,14.9043
