SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11d,SPK_SPKC12a,SPK_SPKC13b,SPK_SPKC14a
219.6228,216.679975,205.182125,278.580575,212.215775,225.261875,205.617
219.625575,216.91875,205.207775,278.5966,212.221325,225.467475,205.620875
219.69185,217.071175,205.223075,279.20165,212.227425,225.59005,205.6406
219.78305,217.098625,205.23885,279.503825,212.2332,225.641975,205.67055
219.8694,217.132875,205.261675,280.84325,212.28975,225.990775,205.736925
219.872625,217.269975,205.301925,281.225775,212.299475,226.221525,205.7447
219.99745,217.29195,205.321525,281.3482,212.308675,226.312575,205.80835
220.1287,217.32895,205.34135,281.62955,212.33225,226.631075,205.854375
220.269975,217.371075,205.345825,282.096625,212.494725,226.65065,205.867925
220.34925,217.378625,205.383625,282.250125,212.50535,226.939475,205.8735
220.434725,217.477175,205.4067,282.63235,212.5466,227.187875,206.016925
220.5104,217.52555,205.423175,282.774075,212.590575,227.29845,206.026325
220.516825,217.6818,205.45265,283.30495,212.62835,227.5622,206.063775
220.569575,217.976175,205.46725,283.4658,212.643225,227.711125,206.111775
220.6591,218.3097,205.488825,285.19245,212.64845,227.73945,206.120625
220.76445,218.40675,205.500675,285.197725,212.66055,227.7537,206.161225
220.875225,218.4413,205.505925,285.2245,212.669625,227.85055,206.3006
220.958425,218.49285,205.5268,286.1499,212.675275,227.910575,206.34245
220.973425,218.550825,205.539125,286.36315,212.689125,228.071375,206.360275
221.238925,218.558425,205.562925,286.732325,212.7974,228.164,206.3701
221.368075,218.559775,205.582625,287.013225,212.943775,228.190375,206.375975
221.437925,218.608725,205.60205,287.31055,212.947325,228.232075,206.405375
221.743075,218.629775,205.6183,287.625625,212.950475,228.2514,206.450925
221.878675,218.683775,205.639975,287.727675,212.95485,228.47495,206.5032
221.898575,218.734175,205.696075,288.104275,212.95735,228.498625,206.548375
221.9292,218.738375,205.717775,288.4541,212.980825,228.5684,206.5874
222.111875,218.762775,205.738425,288.526625,213.12255,228.5729,206.650425
222.1998,218.779025,205.7684,288.6943,213.130075,228.597925,206.65275
222.247825,218.812225,205.8023,289.079075,213.141425,228.66515,206.677775
222.279875,218.873125,205.817125,289.778875,213.150125,228.80575,206.686925
222.3304,218.9127,205.8465,290.006175,213.29855,228.869125,206.7293
222.728525,218.919625,205.872075,290.09315,213.315275,228.896,206.731775
222.7928,218.934975,205.920025,290.902175,213.357325,228.91065,206.74935
222.937625,218.9461,205.970825,291.313,213.383175,229.49485,206.876775
223.093375,219.05035,205.999925,291.6279,213.401325,229.563475,206.893175
223.129125,219.06575,206.01615,292.2302,213.437775,229.646425,206.899875
223.151975,219.1797,206.0318,292.307325,213.4687,229.7357,206.93625
223.24075,219.2649,206.0345,292.47075,213.471225,229.795725,206.943025
223.335625,219.4995,206.063125,292.9754,213.49915,230.096525,207.011375
223.428125,219.506525,206.0876,293.09725,213.5135,230.16195,207.02895
223.492425,219.5919,206.1019,293.25595,213.534,230.16335,207.14895
