SPK_SPKC04a (inhi),SPK_SPKC08a (sharp exc?),SPK_SPKC09a (no opto-tagging)
38.7288,,21.599875
38.812425,,21.628675
38.871775,,21.6439
38.90085,,21.676875
38.920225,,21.712875
38.9383,,21.763725
38.9625,,21.791625
38.991725,,21.814975
39.02685,,21.854075
39.06885,,21.89725
39.106475,,21.937875
39.155825,,21.980475
39.23275,,22.0438
39.29345,,22.0783
39.389325,,22.12
39.40975,,22.138075
39.446475,,22.1605
39.46915,,22.182375
39.499975,,22.217575
39.55645,,22.226475
39.627025,,22.243825
39.68285,,22.258425
39.7371,,22.28695
39.83135,,22.301875
39.913025,,22.317075
39.9704,,22.3249
40.0305,,22.343925
40.141875,,22.36455
40.211175,,22.377475
40.286175,,22.39635
40.3095,,22.425275
40.3286,,22.4402
40.350175,,22.4641
40.3708,,22.489025
40.389475,,22.5315
40.415125,,22.561075
40.4338,,22.585525
40.45285,,22.607125
40.47815,,22.636425
40.49955,,22.65875
40.52605,,22.70055
40.5583,,22.72075
40.592,,22.767475
40.61945,,22.807775
40.664,,22.838175
40.711675,,22.870275
40.7831,,22.92025
40.850125,,22.94525
40.909275,,22.9752
40.962675,,23.0016
41.0308,,23.0411
41.10005,,23.0669
41.16625,,23.079575
41.2494,,23.1094
41.276925,,23.127175
41.2906,,23.139825
41.30535,,23.157625
41.329425,,23.182975
41.35555,,23.20095
41.408375,,23.215
41.453975,,23.2378
41.497475,,23.2629
41.5415,,23.302225
41.59975,,23.3423
41.655525,,23.3742
41.725475,,23.4121
41.822875,,23.452225
41.908375,,23.5035
41.986975,,23.5502
42.023325,,23.58375
42.0755,,23.611975
42.125,,23.64305
42.2226,,23.663125
42.292875,,23.680475
42.337925,,23.695175
42.4244,,23.7073
42.512975,,23.736575
42.5913,,23.76135
42.650375,,23.78325
42.679675,,23.810975
42.707425,,23.87345
42.730425,,23.91405
42.753025,,23.95305
42.767875,,24.01565
42.79025,,24.032975
42.81985,,24.085625
42.8476,,24.094775
42.91045,,24.14545
42.939325,,24.1777
42.9706,,24.206
42.98545,,24.236525
43.0149,,24.262325
43.05025,,24.29675
43.08775,,24.3258
43.144625,,24.359075
43.18805,,24.400725
43.244575,,24.431425
43.305975,,24.47435
43.345225,,24.494825
43.39525,,24.51685
43.446575,,24.557225
43.500975,,24.565975
43.5687,,24.5922
43.598825,,24.617625
43.643575,,24.6463
43.700875,,24.685275
43.763625,,24.70825
43.80935,,24.772775
43.86345,,24.810075
43.9178,,24.8374
43.98595,,24.8605
44.04285,,24.887175
44.086875,,24.912025
44.118875,,24.937425
44.170175,,24.969925
44.23755,,24.9875
44.28445,,25.018225
44.3482,,25.05135
44.44805,,25.082125
44.511425,,25.1159
44.568525,,25.13195
44.596425,,25.157375
44.631925,,25.1746
44.697175,,25.19555
44.7764,,25.209175
44.82255,,25.225575
44.885875,,25.238925
44.9478,,25.258275
44.99955,,25.299975
45.05165,,25.319875
45.11395,,25.343825
45.174125,,25.372075
45.22305,,25.4261
45.302275,,25.46265
45.3566,,25.5112
45.424925,,25.5342
45.462825,,25.5835
45.507,,25.610425
45.53525,,25.6252
45.564575,,25.648375
45.58555,,25.6652
45.60825,,25.68905
45.6289,,25.697975
45.64895,,25.7531
45.680675,,25.780675
45.700075,,25.807725
45.718025,,25.83675
45.73575,,25.8904
45.76975,,25.92975
45.790975,,25.95015
45.822925,,25.97065
45.84975,,25.99385
45.88125,,26.0133
45.913925,,26.03495
45.944075,,26.089725
46.0022,,26.1293
46.04365,,26.1484
46.088825,,26.172475
46.135225,,26.197575
46.144325,,26.23605
46.205825,,26.27115
46.248525,,26.307475
46.31095,,26.318825
46.370275,,26.3476
46.433275,,26.3778
46.479025,,26.408925
46.5255,,26.4409
46.559525,,26.46675
46.62815,,26.4941
46.708475,,26.53575
46.769175,,26.552375
46.820175,,26.56815
46.8839,,26.5899
46.9536,,26.60335
46.996525,,26.63025
47.081875,,26.6574
47.0947,,26.6733
47.112425,,26.683675
47.125125,,26.71165
47.139575,,26.7234
47.1584,,26.74665
47.179575,,26.762425
47.205175,,26.789125
47.227575,,26.80845
47.2464,,26.818
47.286525,,26.851725
47.307325,,26.872275
47.334575,,26.884375
47.351375,,26.896075
47.3969,,26.908
47.429225,,26.94595
47.454575,,26.9608
47.481575,,26.975425
47.50625,,26.98675
47.53665,,27.0152
47.5753,,27.03705
47.599975,,27.05935
47.624525,,27.111175
47.652,,27.1315
47.68965,,27.144725
47.721025,,27.1706
47.75565,,27.194975
47.779875,,27.211675
47.8112,,27.2507
47.84865,,27.27315
47.8855,,27.2969
47.927875,,27.3221
47.98655,,27.331775
48.016025,,27.346975
48.05305,,27.414875
48.0949,,27.43895
48.142625,,27.458825
48.250975,,27.490175
48.296325,,27.50685
48.341875,,27.525975
48.38215,,27.5476
48.412275,,27.593075
48.479125,,27.618925
48.504175,,27.63845
48.522925,,27.654
48.537575,,27.6822
48.556425,,27.707825
48.578975,,27.7237
48.605075,,27.744625
48.626975,,27.771575
48.664,,27.799725
48.6869,,27.816
48.719575,,27.868375
48.746225,,27.90475
48.7979,,27.929475
48.838525,,27.956275
48.87445,,27.972675
48.913125,,27.98745
48.970625,,28.002575
49.00385,,28.0246
49.0551,,28.03565
49.077775,,28.07825
49.1012,,28.099825
49.124775,,28.127275
49.144475,,28.1588
49.162675,,28.184575
49.180025,,28.220875
49.2032,,28.230675
49.223475,,28.25775
49.250125,,28.288475
49.28335,,28.3148
49.3197,,28.332875
49.3428,,28.356775
49.37105,,28.37745
49.407125,,28.405525
49.436625,,28.459025
49.4854,,28.49815
49.519225,,28.537
49.58855,,28.5566
49.65665,,28.600025
49.704775,,28.609375
49.74805,,28.630925
49.801575,,28.661225
49.868825,,28.695375
49.9211,,28.701825
49.983875,,28.71445
50.034075,,28.734675
50.07835,,28.757725
50.1187,,28.7719
50.159525,,28.790125
50.181175,,28.8071
50.1953,,28.847
50.20825,,28.8629
50.225525,,28.8994
50.261925,,28.9399
50.292925,,28.9549
50.313925,,28.984675
50.339225,,29.012
50.36495,,29.03615
50.46995,,29.053325
50.528925,,29.07165
50.5814,,29.102075
50.64105,,29.1323
50.7091,,29.144575
50.758075,,29.1767
50.8147,,29.197275
50.880575,,29.223475
50.945625,,29.24355
51.0109,,29.269125
51.05285,,29.30075
51.074675,,29.315175
51.0941,,29.3498
51.113525,,29.378825
51.139575,,29.410475
51.176125,,29.43365
51.2042,,29.4524
51.2469,,29.474775
51.2707,,29.504525
51.3292,,29.526675
51.37965,,29.54795
51.429375,,29.568175
51.486525,,29.602025
