SPK_SPKC01a,SPK_SPKC02b,SPK_SPKC11a,SPK_SPKC13b
156.501175,132.614025,112.810725,156.625
156.66605,132.96345,112.8226,156.67165
157.2318,133.014,112.831875,156.782325
157.79435,133.082675,112.841625,156.824575
157.8397,133.221125,112.8548,156.8895
157.934025,133.2756,112.866625,157.07105
158.289125,133.311625,112.876375,157.29905
158.39115,133.36935,112.88925,157.339075
158.55055,133.450925,112.90105,157.462475
158.77365,133.4694,112.912525,157.539025
159.0053,133.4895,112.9279,157.684
159.075275,133.4906,112.9389,157.790475
159.1071,133.5048,112.95,157.87105
159.132375,133.535825,112.9592,157.926675
159.244825,133.543075,112.966775,157.959625
159.37185,133.5554,112.9779,158.0538
159.400175,133.570275,112.98735,158.300225
159.479425,133.6305,112.999175,158.321575
159.72395,133.661825,113.010275,158.36265
159.7806,133.68625,113.0309,158.4264
159.9588,133.700975,113.051575,158.475625
160.1795,133.81075,113.0784,158.60015
160.3675,133.85285,113.09605,158.63045
160.38925,133.86655,113.112425,158.654125
160.489975,133.885925,113.1136,158.68435
160.631725,133.9438,113.1377,158.995675
160.75945,133.947875,113.1492,159.339275
160.8419,134.014975,113.157625,159.3982
161.002225,134.074075,113.1663,159.542425
161.03475,134.137425,113.184425,159.614
161.15455,134.2044,113.192575,159.7046
161.21335,134.266525,113.20735,159.820575
161.245475,134.380475,113.22195,159.8491
161.348325,134.4026,113.236375,160.2255
161.38975,134.587,113.245125,160.2797
161.4165,134.62205,113.26195,160.317525
161.5174,134.6998,113.27015,160.3309
161.709675,134.883,113.283675,160.67815
161.74975,134.9573,113.295925,160.88495
161.7886,134.993925,113.30415,161.014575
161.898225,135.0939,113.321025,161.36445
162.010125,135.1438,113.331,161.55375
162.08775,135.5085,113.345025,161.58005
162.21845,135.556175,113.3626,161.649925
162.26615,135.586625,113.375175,161.673225
162.597175,135.6629,113.3873,161.698625
163.056875,135.803325,113.4076,161.815225
163.088025,136.09355,113.4373,162.110125
163.237525,136.313625,113.4577,162.131075
163.41725,136.441075,113.484975,162.15425
163.498425,136.52105,113.508375,162.161725
163.5493,136.579225,113.538175,162.19705
163.587775,136.789975,113.562725,162.258075
163.711275,136.906725,113.5878,162.324075
163.7368,136.945325,113.613325,162.461825
163.99605,136.95225,113.6358,162.5337
164.159825,137.01915,113.6687,162.607775
164.377225,137.272675,113.688025,162.7244
164.616125,137.32585,113.719625,162.73875
164.65265,137.413475,113.731675,162.7828
164.921975,137.534675,113.751225,162.994475
165.570675,137.775775,113.76145,163.26915
165.630025,137.921075,113.7698,163.302925
165.6649,137.996175,113.77765,163.3772
165.7166,138.058275,113.7843,163.882925
165.742025,138.116275,113.7958,163.89815
165.856475,138.3178,113.80815,163.982325
165.8912,138.52335,113.815825,164.028675
165.945125,138.67475,113.8282,164.070875
165.965775,138.757925,113.836,164.0887
166.01075,138.815125,113.852925,164.146725
166.0836,139.2701,113.862725,164.24645
166.170725,139.3916,113.8804,164.348475
166.213625,139.697225,113.9005,164.7026
166.627625,139.7901,113.9139,164.755775
166.66945,139.91955,113.949375,164.796275
166.737475,139.978125,113.9738,164.83235
166.8496,140.18525,113.999725,164.96475
166.86975,140.235775,114.0226,164.991975
166.979525,140.2385,114.048725,165.0738
167.299075,140.32795,114.067625,165.16545
167.326225,140.3572,114.076975,165.202675
167.38675,140.4323,114.0938,165.318075
167.517425,140.440375,114.11,165.618375
167.638825,140.465225,114.13,165.889225
167.8428,140.5157,114.1493,166.247
168.03875,140.547625,114.165175,166.31175
168.105125,140.566975,114.182275,166.35635
168.1316,140.593525,114.214025,166.374525
168.446975,140.63075,114.239025,166.496375
168.816425,140.649975,114.264875,166.771675
168.9884,140.6775,114.281075,166.809175
169.02975,140.68585,114.304975,166.83625
169.057225,140.706175,114.3258,166.865625
169.121525,140.727725,114.370225,167.0041
169.2079,140.7527,114.399075,167.077925
169.2754,140.771175,114.442125,167.099425
169.49085,140.7915,114.47815,167.14375
169.508775,140.808575,114.50385,167.200425
