SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
3721.25285,3732.58325,3717.749675,3776.289175,3794.4691
3721.392625,3732.66315,3717.791025,3779.0205,3795.232525
3721.44045,3732.7311,3717.804475,3779.055625,3795.502225
3721.577825,3732.894975,3717.836025,3779.6061,3795.69945
3721.59355,3732.91395,3717.85535,3779.807225,3795.7217
3721.70695,3732.948375,3717.878675,3779.836275,3795.923325
3721.7537,3733.0435,3717.92475,3780.280825,3796.078225
3721.831325,3733.2323,3717.946925,3780.3307,3796.382975
3721.85525,3733.311575,3717.964875,3780.3584,3798.118175
3721.93825,3733.377775,3717.99525,3781.158025,3800.2879
3721.954025,3733.669875,3718.036875,3781.69875,3800.40215
3722.03105,3733.703725,3718.05145,3783.214625,3800.735825
3722.038725,3733.845175,3718.080325,3783.2648,3801.714075
3722.06265,3734.047225,3718.0968,3783.41635,3802.688825
3722.0933,3734.15645,3718.111225,3783.91955,3803.089075
3722.166875,3734.199375,3718.156625,3783.987925,3803.226275
3722.217725,3734.24105,3718.1855,3784.040225,3803.362975
3722.317275,3734.274525,3718.2091,3784.3129,3803.566925
3722.33825,3734.40085,3718.254375,3784.542,3804.683075
3722.362925,3734.716325,3718.2791,3784.70335,3805.002425
3722.406125,3734.76725,3718.292325,3785.74365,3805.36105
3722.455375,3734.8528,3718.30495,3786.30055,3805.474375
3722.53915,3735.02925,3718.326775,3787.926625,3805.68225
3722.553475,3735.161125,3718.35355,3788.422675,3805.9115
3722.6444,3735.181,3718.385025,3789.020425,3806.057875
3722.855,3735.582975,3718.40075,3789.0513,3806.185825
3722.865,3735.61405,3718.4387,3790.51425,3806.270475
3722.967725,3735.6676,3718.4586,3791.10445,3806.4218
3722.98635,3735.88275,3718.480525,3791.222825,3806.4768
3723.042475,3735.938125,3718.490625,3792.4368,3806.488425
3723.0896,3735.9718,3718.5143,3794.060075,3806.5627
3723.231975,3735.997175,3718.52225,3794.342675,3806.5884
3723.30195,3736.265825,3718.5301,3795.08035,3806.659875
3723.348075,3736.509325,3718.55435,3796.228075,3806.691475
3723.407775,3736.66175,3718.5651,3796.44695,3806.8004
3723.433175,3736.847325,3718.578225,3796.643375,3806.870875
3723.464775,3736.950975,3718.6094,3796.960175,3806.971925
3723.567425,3737.025025,3718.630825,3797.328925,3807.244075
3723.6497,3737.11665,3718.64115,3797.3937,3807.3251
3723.7414,3737.13365,3718.662175,3797.4852,3807.429975
3723.7743,3737.263625,3718.68925,3797.6557,3807.644075
3723.84505,3737.29895,3718.712575,3798.0221,3807.69505
3724.007975,3737.326125,3718.726425,3798.34315,3807.79895
3724.06175,3737.45995,3718.762,3798.5758,3807.90485
3724.3681,3737.5819,3718.8005,3799.06925,3807.957375
3724.3957,3737.69205,3718.82655,3799.2113,3808.080125
3724.647475,3737.977675,3718.86105,3799.440975,3808.34845
3724.75395,3738.149925,3718.879525,3800.25115,3808.413725
3724.786075,3738.241925,3718.924475,3800.273325,3808.45215
3724.881,3738.44225,3718.957225,3800.7102,3808.7899
3724.938625,3738.49235,3718.99955,3800.840875,3808.91165
3724.9574,3738.69385,3719.068775,3801.006325,3809.071975
3725.5272,3738.99375,3719.11765,3801.0618,3809.494125
3725.6859,3739.159325,3719.155275,3801.110725,3809.562875
3725.93515,3739.17685,3719.229675,3801.20205,3809.6237
3726.0436,3739.787225,3719.31465,3801.21025,3809.795175
3726.266325,3740.11015,3719.363175,3801.279275,3810.020075
3726.561475,3741.161575,3719.402625,3801.2979,3810.0978
