SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03b,SPK_SPKC07b,SPK_SPKC07c,SPK_SPKC12a,SPK_SPKC14c
114.61085,112.3417,107.185075,121.729775,127.9921,115.08735,105.860025
114.758575,112.367675,107.19755,121.746525,128.0144,115.10385,105.954125
114.906325,112.39875,107.240725,121.795225,128.073625,115.14785,105.97455
114.950325,112.422975,107.269275,121.80845,128.1224,115.224525,106.00055
114.97765,112.4452,107.280825,121.920075,128.1947,115.26415,106.033725
115.02515,112.472975,107.2913,121.9287,128.588375,115.326375,106.049225
115.100025,112.4947,107.327375,122.15095,128.87645,115.369125,106.0913
115.214125,112.516075,107.335025,122.2153,128.884325,115.3877,106.124975
115.255375,112.538725,107.360375,122.290775,129.101075,115.396625,106.175025
115.323825,112.60255,107.443975,122.339,129.102575,115.422175,106.19505
115.3677,112.615,107.475925,122.362775,129.139625,115.441175,106.2183
115.402325,112.6261,107.5118,122.3903,129.2348,115.457175,106.232275
115.674125,112.638175,107.519375,122.428175,129.2656,115.492325,106.243675
115.72405,112.65415,107.54275,122.453175,129.44415,115.563225,106.251975
115.7395,112.671425,107.594625,122.47805,129.47825,115.63175,106.260825
115.854125,112.735275,107.60015,122.508825,129.540675,115.729675,106.2832
115.972625,113.0112,107.70025,122.54925,129.59905,115.8561,106.29945
116.002825,113.039,107.792125,122.6182,129.65265,115.881775,106.3089
116.158175,113.145275,107.865275,122.828775,129.802,115.91035,106.330775
116.168575,113.189325,107.87095,122.891925,129.80705,116.12015,106.346775
116.174925,113.212275,107.885875,122.915975,129.902275,116.1388,106.366025
116.20475,113.33995,107.90055,122.970625,130.1095,116.18905,106.396
116.31435,113.431425,107.922675,123.01875,130.506225,116.372275,106.42075
116.388275,113.458025,107.955025,123.0525,130.799125,116.3867,106.46645
116.456025,113.477225,107.961875,123.164725,131.069125,116.447625,106.48175
116.559025,113.491325,107.969025,123.1937,131.08095,116.45045,106.5016
116.807375,113.53165,107.977,123.23065,131.274575,116.655575,106.527575
116.8523,113.5726,107.98335,123.280275,131.56405,116.7911,106.5475
116.928875,113.634075,108.004275,123.4493,131.6735,116.81405,106.583125
117.06195,113.71445,108.017,123.643675,131.90715,116.833625,106.619825
117.102575,113.738875,108.02755,123.672675,132.21665,116.894875,106.637825
