SPK_SPKC02a (no effect),SPK_SPKC02b (weak excitation),SPK_SPKC09a (no effect),SPK_SPKC11a (no effect)
8.12495,82.635125,27.85235,22.011725
8.161425,82.712675,27.9091,22.0329
8.179875,82.821175,27.956575,22.06265
8.1964,82.905975,27.970225,22.142425
8.21645,82.9668,28.0036,22.148225
8.228175,83.266075,28.01175,22.2217
8.237725,83.28685,28.048175,22.232575
8.252825,83.44685,28.1038,22.247
8.265475,83.485125,28.1421,22.3038
8.296075,84.26765,28.3966,22.378575
8.3175,84.384875,28.441525,22.38
8.330825,84.7908,28.47185,22.4259
8.3409,84.854025,28.501725,22.4557
8.360125,84.85935,28.5663,22.460725
8.371175,84.970525,28.6278,22.466375
8.3818,85.0577,28.680575,22.4845
8.3949,85.215425,28.72215,22.510075
8.40515,85.50295,28.75905,22.522275
8.42415,85.709675,28.78585,22.53625
8.4532,85.85585,28.8613,22.6419
8.46165,86.1395,28.894625,22.6555
8.47365,86.44005,28.953,22.68135
8.48005,86.5692,28.9923,22.707525
8.49565,86.7038,29.035125,22.718025
8.5171,87.020475,29.101025,22.7517
8.5458,87.270875,29.132925,22.766275
8.55995,87.478675,29.17745,22.88725
8.583475,87.65185,29.21245,22.898925
8.60915,87.84945,29.2672,22.92565
8.627625,88.023125,29.3888,22.931075
8.672225,88.1891,29.4607,22.9387
8.68875,88.449425,29.498625,22.963925
8.720625,88.522325,29.55,22.9794
8.743125,88.552775,29.594275,23.066775
8.753475,88.616125,29.655125,23.0686
8.754675,88.884975,29.716375,23.081025
8.7652,88.9861,29.742625,23.0951
8.78375,89.0614,29.77075,23.13445
8.792225,89.211625,29.793125,23.154
8.81085,89.329875,29.82935,23.227825
8.820525,89.456275,29.86895,23.2363
8.83705,89.473975,29.9865,23.2834
8.84945,89.569925,30.0211,23.317025
8.8627,89.67895,30.058925,23.350325
8.8772,89.7483,30.08345,23.361475
8.8892,90.0281,30.134475,23.38955
8.906925,90.10975,30.178575,23.460175
8.916175,90.317325,30.228525,23.46155
8.9274,90.575975,30.248775,23.469075
8.962475,90.689225,30.376275,23.50475
8.97445,90.8604,30.41765,23.56185
