SPK_SPKC02a (excited),SPK_SPKC04a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC16a (short inhibition)
,10.497875,85.6468,6.281625
,10.51655,85.6788,6.289025
,10.53385,85.793825,6.295575
,10.553075,86.1544,6.30825
,10.576775,86.172575,6.33055
,10.5993,86.225175,6.36185
,10.615275,86.434375,6.372475
,10.62725,86.531375,6.3954
,10.6371,86.55045,6.4283
,10.64715,86.68605,6.46245
,10.654175,86.824175,6.520775
,10.669375,86.8561,6.57055
,10.68035,87.272525,6.5988
,10.692475,87.300825,6.62085
,10.706725,87.5715,6.649225
,10.716875,87.592875,6.683875
,10.728475,87.9363,6.73925
,10.74495,88.061025,6.766775
,10.757525,88.5063,6.779925
,10.76935,88.75735,6.785075
,10.788875,88.9637,6.79115
,10.8066,89.00505,6.7971
,10.82705,89.11615,6.80215
,10.84685,89.2767,6.8069
,10.86555,89.505725,6.8155
,10.8832,89.6698,6.819925
,10.905125,89.808075,6.823675
,10.924175,89.903575,6.829275
,10.940975,89.9361,6.83355
,10.959275,90.038575,6.8368
,10.9702,90.119,6.83995
,10.987375,90.146725,6.844725
,10.999325,90.5791,6.8475
,11.0106,90.59405,6.855025
,11.02065,90.618975,6.857925
,11.036025,91.3,6.860575
,11.0537,91.50495,6.8635
,11.064275,91.535725,6.868075
,11.07995,91.653325,6.870575
,11.0925,91.6828,6.873125
,11.106425,91.721,6.87525
,11.1259,91.8476,6.878125
,11.1446,91.906675,6.88055
,11.1614,92.12715,6.884
,11.183075,92.26205,6.89185
,11.19755,92.284275,6.8962
,11.214525,92.332375,6.89895
,11.23605,92.420575,6.903225
,11.256175,92.646725,6.914275
,11.27925,92.964,6.927425
,11.29105,93.178275,6.9483
,11.309475,93.25275,6.960425
,11.324775,93.444575,6.977125
,11.3319,93.5257,6.984675
,11.345325,93.781225,6.991025
,11.371925,93.811625,6.99935
,11.383675,94.028275,7.00655
,11.40695,94.17325,7.018
,11.422875,94.21615,7.028825
,11.4398,94.350625,7.0396
,11.455425,94.487975,7.063325
,11.471575,94.798,7.073375
,11.490125,94.867175,7.090875
,11.50735,95.05595,7.09775
,11.52375,95.078675,7.1084
,11.539025,95.261775,7.119725
,11.5571,95.297025,7.130175
,11.578,95.583325,7.140225
,11.59895,95.75685,7.151375
,11.625675,96.4492,7.15865
,11.65285,96.564375,7.16915
,11.67025,96.6225,7.1732
,11.6916,96.8162,7.1769
,11.709475,96.886,7.183975
,11.720775,96.971175,7.18745
