SPK_SPKC06c,SPK_SPKC08a,700.008825,SPK_SPKC11a,SPK_SPKC12a,SPK_SPKC12b,SPK_SPKC15b
712.16835,905.47295,870.63825,706.79265,707.54395,731.2032,706.943125
712.199675,905.7273,870.877975,706.815875,707.5815,731.22595,707.0261
712.207225,908.5943,870.95015,706.8273,707.6064,731.286825,707.047975
712.221175,908.98085,871.202675,706.84645,707.64645,731.308925,707.098075
712.23845,909.05495,871.39475,706.861275,707.67975,731.35635,707.114925
712.2699,909.1841,871.489675,706.876375,707.705325,731.4011,707.168125
712.28715,909.36765,871.849375,706.894225,707.737525,731.41305,707.2163
712.315925,909.6067,872.22645,706.91765,707.76045,731.63645,707.257275
712.324125,909.85755,873.082525,706.940775,707.772825,732.117775,707.280675
712.3317,911.350975,874.809725,706.962375,707.78775,732.159525,707.296025
712.34595,912.436625,875.6983,706.983125,707.806075,732.607875,707.304075
712.351875,912.8489,877.200975,707.00065,707.82595,732.60975,707.3269
712.390375,913.897525,879.266575,707.013975,707.843225,732.66645,707.338925
712.39775,914.12115,881.769275,707.03385,707.865725,732.886325,707.389275
712.424725,917.636875,882.1184,707.0566,707.888675,733.2173,707.405025
712.43525,917.90665,882.48765,707.07835,707.934675,733.36845,707.424125
712.449025,918.41805,883.717925,707.098925,707.958675,733.568275,707.4447
712.47985,919.41565,884.594725,707.11335,707.989475,733.6747,707.449775
712.504475,919.423475,885.094425,707.145375,708.0329,733.71775,707.463625
712.55335,919.556675,886.177925,707.175075,708.06255,733.918475,707.489725
712.556625,919.852875,887.055725,707.204875,708.105625,734.199475,707.49295
712.57455,922.596575,887.98545,707.233175,708.121475,734.200725,707.5087
712.60805,924.58785,888.0291,707.25255,708.181775,734.22225,707.535575
712.62285,925.944,888.79055,707.283925,708.222375,734.402175,707.5748
712.6339,929.326825,889.399825,707.30125,708.276275,734.49245,707.5772
712.673875,929.38125,889.581475,707.3178,708.3445,734.496275,707.602325
712.692225,931.13185,889.913325,707.340075,708.38255,734.835525,707.67505
712.704825,931.876325,890.075125,707.363125,708.400125,734.871675,707.70015
712.7265,933.636125,890.347925,707.3942,708.408175,735.135225,707.715325
712.7599,934.602,890.623275,707.42315,708.41715,735.343575,707.743
712.80205,934.634125,890.993175,707.4317,708.4269,735.47215,707.761575
712.810525,935.059525,891.047475,707.459925,708.435475,735.4933,707.775525
712.821275,935.552875,892.1017,707.4916,708.44835,735.588475,707.810075
712.83935,935.556475,893.006925,707.52705,708.4942,735.702825,707.856625
712.8703,935.5693,893.6179,707.54395,708.531125,735.73935,707.8608
712.89975,936.15515,893.76425,707.55345,708.588825,735.7614,707.882975
712.9124,936.622425,894.079575,707.5815,708.6388,735.9036,707.9476
712.93095,937.65945,894.510425,707.6064,708.6703,735.92905,707.9856
712.947825,939.4103,895.51115,707.64645,708.75155,736.016275,707.991325
713.0037,940.349875,896.035025,707.679725,708.762225,736.0422,708.012775
713.053175,940.6894,896.3505,707.705325,708.7754,736.09145,708.034875
713.12095,940.70855,897.05655,707.737525,708.781675,736.275375,708.05785
713.136675,942.13815,897.4266,707.76045,708.784575,736.3011,708.089875
713.1722,943.60115,897.8283,707.772825,708.793375,736.352375,708.1152
713.18865,946.616525,898.01345,707.78775,708.799675,736.398075,708.1415
713.21105,948.1238,898.06935,707.806075,708.807975,736.4565,708.166225
713.25365,948.386225,898.446175,707.825925,708.848575,736.47515,708.19365
713.271375,948.4163,898.566225,707.8432,708.891325,736.828725,708.203
713.3159,952.220475,900.6659,707.8657,708.9326,736.899425,708.230575
713.333875,954.9473,901.804225,707.88865,709.0233,736.9828,708.246625
713.352675,955.49105,902.942325,707.934675,709.124425,736.986375,708.2875
713.384575,955.772575,903.83325,707.95865,709.138825,737.587425,708.309625
713.40535,956.38055,903.89525,707.989475,709.15535,737.668125,708.33145
713.43845,958.2858,905.442925,708.0329,709.17695,738.0591,708.363875
713.462325,958.38595,905.4743,708.062525,709.19435,738.086725,708.383525
713.485525,959.11285,905.551075,708.1056,709.2146,738.111575,708.396975
713.506575,960.2864,905.656375,708.121475,709.251575,738.908425,708.4079
713.5244,962.004725,905.89345,708.18175,709.2828,738.989125,708.428975
713.541525,962.174275,906.830175,708.222375,709.4394,739.066375,708.451975
713.583325,962.814925,908.4265,708.276275,709.462625,739.1828,708.46615
713.614125,963.257625,908.494025,708.3445,709.501125,739.22685,708.508625
713.6536,963.409825,908.59255,708.38255,709.529775,739.24245,708.550875
713.715125,963.567325,909.6505,708.400125,709.60285,739.31115,708.59715
713.73625,964.27915,910.7702,708.408175,709.630675,739.43355,708.59975
713.770525,965.141775,911.13565,708.41715,709.646525,739.48405,708.664825
713.803275,965.98765,911.4477,708.426875,709.670125,739.55125,708.6987
713.823425,967.759125,912.2951,708.448325,709.6886,739.6176,708.74585
713.8375,971.159575,912.75755,708.464175,709.72685,739.6407,708.756275
713.858225,974.30725,912.858025,708.494175,709.7835,739.681225,708.759625
713.8881,975.87395,913.063525,708.531125,709.86955,739.747,708.764725
713.920175,976.092075,913.25455,708.588825,709.89495,739.81315,708.775775
713.9757,976.885675,913.615325,708.6388,709.974075,739.849675,708.78385
714.015275,977.4746,914.880475,708.6703,710.02915,739.88285,708.789825
714.066725,980.93035,915.0045,708.75155,710.064825,739.91305,708.8164
714.2408,981.258975,915.29195,708.7622,710.093,739.93715,708.833425
714.320725,982.668425,915.3561,708.770025,710.12645,739.990325,708.8565
714.456875,983.066525,915.80115,708.7754,710.15395,740.005675,708.90905
714.46725,983.837375,915.964825,708.78165,710.1667,740.016625,709.0032
714.47335,985.383025,918.388925,708.784575,710.182825,740.021275,709.054725
714.51865,985.417625,918.735375,708.7934,710.196875,740.1411,709.1152
714.693125,988.71955,919.072725,708.799675,710.22575,740.225675,709.127625
714.71005,990.0451,921.589175,708.807975,710.301475,740.372375,709.144925
714.7358,996.09625,921.66325,708.817925,710.349625,740.3986,709.162675
714.7684,999.723675,922.038175,708.848575,710.417075,740.445975,709.175925
714.78415,,922.5469,708.891325,710.432425,740.459175,709.1981
714.8033,,922.781925,708.9326,710.44,740.548775,709.2091
714.809675,,922.997125,709.023275,710.447825,740.579075,709.27655
714.833925,,923.780475,709.124425,710.455975,740.71625,709.305475
714.86,,923.858375,709.138825,710.46895,740.8173,709.339775
714.904975,,924.037575,709.15535,710.490625,740.8782,709.382475
714.938925,,925.73075,709.168175,710.4961,740.9032,709.433975
714.96575,,926.652925,709.176925,710.506925,740.917575,709.4454
715.000175,,926.682475,709.19435,710.515625,740.935425,709.4857
715.054975,,930.102725,709.214575,710.527375,741.0195,709.502225
715.067475,,931.1616,709.25155,710.535575,741.052075,709.5308
715.28735,,931.5484,709.282775,710.557825,741.0543,709.5634
715.301375,,931.75335,709.4394,710.582225,741.11635,709.582325
715.30475,,932.2719,709.462575,710.601525,741.212725,709.6081
715.322125,,932.77935,709.501125,710.62515,741.254,709.642
715.3708,,932.81505,709.52975,710.6439,741.269475,709.6529
715.571675,,933.642525,709.602825,710.683675,741.339475,709.66955
715.5877,,934.48805,709.630675,710.7029,741.518275,709.685225
715.604025,,934.6457,709.646525,710.71785,741.554975,709.72075
715.652875,,934.80685,709.670125,710.754075,741.571075,709.72325
715.674625,,934.8221,709.6886,710.771875,741.646325,709.76935
715.6881,,935.55575,709.70175,710.79375,741.926975,709.799425
715.70195,,935.69285,709.72685,710.8519,742.1,710.013825
715.763925,,935.817175,709.7835,710.865975,742.118625,710.02225
715.8083,,936.023425,709.86955,710.912225,742.267675,710.076675
715.84515,,936.24555,709.89495,710.9238,742.464175,710.08965
715.85765,,936.7285,709.974075,710.94345,742.577075,710.09665
715.885775,,936.78625,710.02915,710.955475,742.62225,710.105875
715.901475,,936.87175,710.064825,710.9651,742.636625,710.129675
715.920325,,936.900625,710.093,710.98375,742.771475,710.14325
715.948175,,937.060825,710.126425,711.021,742.78495,710.155475
716.1512,,937.117875,710.15395,711.0633,742.871975,710.1689
716.16035,,938.462675,710.16665,711.11965,742.99485,710.26615
716.184,,938.507125,710.1828,711.146925,743.027925,710.316
716.2422,,939.1136,710.1866,711.163125,743.0683,710.364275
716.32015,,939.704725,710.196875,711.179875,743.128975,710.40545
716.436675,,940.872575,710.22575,711.2174,743.631275,710.42505
716.632225,,942.0712,710.30145,711.2329,743.709475,710.437925
716.8565,,942.14085,710.349625,711.253825,743.7275,710.448625
717.079425,,942.9305,710.432425,711.278825,743.77855,710.4553
717.271925,,942.966225,710.44,711.333825,743.96445,710.46225
