SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
149.5706,32.6805,94.9414,90.694225,18.740475,,4.87995,26.911625
,32.690925,96.23295,90.7261,18.765225,,4.928375,27.1341
,32.76105,96.67255,91.105125,18.79495,,4.933575,27.392925
,32.7637,97.2792,91.11365,18.8414,,4.94015,27.402725
,32.853525,97.6677,91.29345,18.884025,,4.948075,27.47335
,33.367225,97.7403,91.749975,18.932575,,4.95555,27.48385
,33.452125,97.76865,92.14865,19.0593,,4.96055,27.94575
,33.541,98.238675,92.406925,19.0694,,4.9879,27.964425
,33.593775,98.28745,92.7836,19.101725,,4.99565,27.980625
,33.74125,99.707375,93.1867,19.157625,,5.017725,28.073475
,33.818425,100.305475,93.1982,19.18565,,5.0296,28.114525
,33.912025,100.449175,93.522325,19.1997,,5.03975,28.124125
,33.99545,100.491325,93.642125,19.229975,,5.053275,28.3711
,34.164125,101.124875,93.841325,19.290725,,5.06655,28.46855
,34.661175,101.475725,93.875,19.353225,,5.076975,28.482475
,34.774425,101.94415,93.9828,19.4006,,5.114575,28.60975
,34.82955,102.196925,94.3379,19.5027,,5.153675,28.667125
,34.87615,102.436575,94.7923,19.50995,,5.183925,28.89555
,34.89485,102.533275,94.81385,19.516,,5.2509,28.9031
,34.915125,102.723075,94.8743,19.526025,,5.2609,29.0281
,35.0239,102.8689,95.0175,19.556625,,5.274025,29.051825
,35.0703,103.526925,95.920625,19.56045,,5.276625,29.080625
,35.110625,103.604075,96.043125,19.6123,,5.2781,29.170775
,35.122775,103.65815,96.136775,19.66665,,5.282,29.192275
,35.13215,103.770875,96.274425,19.683375,,5.28515,29.358925
,35.16595,103.837125,97.0248,19.85005,,5.28795,29.3786
,35.193175,104.317725,97.0592,19.948625,,5.291575,29.442525
,35.439425,105.00195,97.44445,19.97135,,5.2949,29.6945
,35.461175,105.426725,97.46215,19.975975,,5.298525,29.721625
,35.4823,105.517925,97.6677,20.023225,,5.32075,29.7538
,35.521825,105.924425,97.695675,20.2396,,5.376775,29.948625
,35.535425,106.136625,97.87525,20.278225,,5.38395,30.1
,35.723175,106.24575,97.974675,20.308525,,5.422575,30.1607
,35.8155,106.52125,98.202625,20.31855,,5.43535,30.430575
,35.859675,106.872525,98.33485,20.35405,,5.4458,30.4375
,35.92455,107.3087,98.35525,20.398,,5.460175,30.455875
,36.071725,107.383025,98.47975,20.42695,,5.478725,30.503
,36.29685,107.8366,98.516725,20.4456,,5.49525,30.59755
,36.29995,108.2119,98.613675,20.508325,,5.5523,30.6962
,36.339025,108.908425,98.700125,20.52255,,5.60365,30.955575
,36.50245,109.8075,98.751125,20.54115,,5.62315,31.0967
,36.5663,110.389075,98.779575,20.685325,,5.628975,31.144625
,36.577425,111.2514,98.822175,20.817775,,5.63495,31.189125
