SPK_SPKC01a,SPK_SPKC09a,SPK_SPKC09b
90.961875,111.0688,141.57095
91.001525,111.087925,141.717225
91.0551,111.11095,142.08025
91.102125,111.13075,142.31985
91.1806,111.168275,142.624825
91.220125,111.222475,143.1269
91.287225,111.28815,143.7892
91.4024,111.31945,143.9103
93.5622,111.4877,143.967175
93.592,111.661375,144.048675
93.6144,113.524475,144.11775
93.63405,113.597825,144.4434
93.652,113.625525,144.51205
93.67515,113.658925,144.514475
93.719725,113.68275,144.5742
93.75355,113.7171,144.6921
93.7817,113.8696,145.07585
93.831225,113.911975,145.411175
93.8815,113.95045,145.787025
93.9162,113.9691,145.990775
93.9472,114.009825,146.144175
94.001975,114.02085,146.2353
94.034175,114.086025,146.851625
94.069125,114.127125,146.999275
94.095575,114.1493,147.13515
94.125475,114.2098,147.226025
94.1572,114.23725,148.1245
94.216325,114.250125,148.507575
94.2449,114.2707,148.654325
94.288025,114.28855,149.1499
94.333425,114.3148,149.2415
94.402475,114.381125,149.41025
94.50925,114.4569,149.909625
94.594225,114.472875,150.4172
96.283575,114.487525,150.50315
96.338375,114.5786,150.5066
96.361175,114.6118,150.687075
96.38385,114.7076,150.7398
96.406775,114.741,150.823425
96.42895,114.755225,150.8634
96.4605,114.802175,150.9203
96.486525,114.827225,150.99075
96.510925,114.87585,151.100575
96.5293,114.901375,151.12175
96.5605,114.925,151.231375
96.583175,114.988075,151.310475
96.6246,115.021875,151.379725
96.64205,115.046075,151.5483
96.676675,115.086525,151.668175
96.71465,115.182925,151.816475
96.74645,115.2155,152.064225
96.78295,115.2362,152.18175
96.806075,115.2623,152.276025
96.841375,115.293425,152.4177
96.87285,115.317725,153.235775
96.898225,115.374975,154.191325
96.930375,115.453,154.372075
96.96785,117.193325,154.651975
97.0045,117.24675,154.906925
97.025825,117.29115,155.01885
97.056575,117.306775,155.20645
97.09255,117.3212,155.412675
97.1199,117.401575,155.569125
97.149575,117.41705,155.908325
97.166,117.525875,155.965175
97.2069,117.583625,155.986725
97.235875,117.5996,156.106525
97.2852,117.650875,156.136175
97.31125,117.6838,156.17545
97.328775,117.745125,156.22655
97.399525,117.8756,156.377875
97.430675,117.92845,156.61935
97.4624,117.95495,156.789325
97.484475,118.010425,157.054375
97.506825,118.06325,157.192775
97.544375,118.26985,157.25015
97.581625,118.41335,157.452525
97.6162,118.665625,158.001725
97.651825,118.8858,158.6706
97.682725,121.06005,159.112525
97.71345,121.0801,159.258875
97.75255,121.117775,159.404625
97.772825,121.138325,159.644875
97.839875,121.206725,159.7487
97.867475,121.22405,159.940975
97.93075,121.2552,160.2347
99.221175,121.27945,160.3648
99.2592,121.30495,160.814725
99.27325,121.33045,160.918975
99.2876,121.360475,161.366925
99.312575,121.41615,161.689375
99.342125,121.44015,161.828025
99.374625,121.521775,162.00395
99.4131,121.568325,162.370375
99.454875,121.680475,162.528675
99.4905,122.186875,163.106125
99.855425,122.2097,163.297325
99.91305,122.227775,163.32855
99.9554,122.249225,163.509025
100.002425,122.2805,163.8523
100.06815,122.31375,163.956
100.071975,122.35715,164.0422
100.101575,122.4218,164.4092
100.1858,122.4754,164.764275
100.29585,122.526025,165.152025
100.359675,122.545,165.2497
100.392125,122.5842,165.3702
100.498075,122.6161,165.564725
100.603125,122.701925,165.6387
100.6423,122.75375,165.7014
100.68935,122.7823,165.866675
100.80735,122.8173,165.8914
100.88375,122.83575,166.51015
100.935375,122.859575,166.636575
100.987775,122.89125,166.638125
101.0256,123.02795,166.73435
103.345825,123.131975,167.09345
103.455175,123.269,167.502675
103.47365,123.309625,167.62625
103.492425,123.38595,168.006825
103.517575,123.442075,168.1255
103.534575,123.484575,168.27975
103.5504,123.531075,168.42075
103.577325,123.758825,168.54865
103.60465,123.840975,168.611575
103.630775,123.857,168.694225
103.655125,123.914075,169.03735
